GEN: 1     BEST FITNESS: 503.59387380182187       	BEST SCORE: 1    	BEST RATIO: 0.5                      WON: 0    	
GEN: 2     BEST FITNESS: 2148.966348148078        	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       WON: 0    	
GEN: 3     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	
GEN: 4     BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       WON: 0    	
GEN: 5     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	
GEN: 6     BEST FITNESS: 4949.916539697357        	BEST SCORE: 3    	BEST RATIO: 0.04411764705882353      WON: 0    	
GEN: 7     BEST FITNESS: 5019.2877281163765       	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      WON: 0    	
GEN: 8     BEST FITNESS: 2149.1313553086493       	BEST SCORE: 2    	BEST RATIO: 0.10526315789473684      WON: 0    	
GEN: 9     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 10    BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	
GEN: 11    BEST FITNESS: 5025.506959415782        	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      WON: 0    	
GEN: 12    BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      WON: 0    	
GEN: 13    BEST FITNESS: 5009.253363800625        	BEST SCORE: 3    	BEST RATIO: 0.1                      WON: 0    	
GEN: 14    BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       WON: 0    	
GEN: 15    BEST FITNESS: 9137.840909256109        	BEST SCORE: 4    	BEST RATIO: 0.0975609756097561       WON: 0    	
GEN: 16    BEST FITNESS: 9169.408691482031        	BEST SCORE: 4    	BEST RATIO: 0.14814814814814814      WON: 0    	
GEN: 17    BEST FITNESS: 9158.793597522206        	BEST SCORE: 4    	BEST RATIO: 0.125                    WON: 0    	
GEN: 18    BEST FITNESS: 20152.99339037816        	BEST SCORE: 6    	BEST RATIO: 0.025974025974025976     WON: 0    	
GEN: 19    BEST FITNESS: 9084.313653308076        	BEST SCORE: 4    	BEST RATIO: 0.06557377049180328      WON: 0    	
GEN: 20    BEST FITNESS: 20351.50140994784        	BEST SCORE: 6    	BEST RATIO: 0.028985507246376812     WON: 0    	
GEN: 21    BEST FITNESS: 14317.048969582076       	BEST SCORE: 5    	BEST RATIO: 0.045871559633027525     WON: 0    	
GEN: 22    BEST FITNESS: 14103.010953883633       	BEST SCORE: 5    	BEST RATIO: 0.03355704697986577      WON: 0    	
GEN: 23    BEST FITNESS: 14634.0258346237         	BEST SCORE: 5    	BEST RATIO: 0.14285714285714285      WON: 0    	
GEN: 24    BEST FITNESS: 19735.28376562022        	BEST SCORE: 6    	BEST RATIO: 0.021505376344086023     WON: 0    	
GEN: 25    BEST FITNESS: 59660.12155748723        	BEST SCORE: 10   	BEST RATIO: 0.031746031746031744     WON: 0    	
GEN: 26    BEST FITNESS: 29225.054078248253       	BEST SCORE: 7    	BEST RATIO: 0.06306306306306306      WON: 0    	
GEN: 27    BEST FITNESS: 49409.05463734675        	BEST SCORE: 9    	BEST RATIO: 0.05555555555555555      WON: 0    	
GEN: 28    BEST FITNESS: 37880.35869202904        	BEST SCORE: 8    	BEST RATIO: 0.03980099502487562      WON: 0    	
GEN: 29    BEST FITNESS: 75559.70413528726        	BEST SCORE: 11   	BEST RATIO: 0.04602510460251046      WON: 0    	
GEN: 30    BEST FITNESS: 133572.68782659562       	BEST SCORE: 14   	BEST RATIO: 0.03146067415730337      WON: 0    	
