
GEN: 1     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 2     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 3     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 4     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 5     BEST FITNESS: 5004.18860149733         	BEST SCORE: 3    	BEST RATIO: 0.08823529411764706      WON: 0    	WON AVG RATIO: 0                        	
GEN: 6     BEST FITNESS: 5030.223402266806        	BEST SCORE: 3    	BEST RATIO: 0.5                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 7     BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 8     BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 9     BEST FITNESS: 9154.332481055757        	BEST SCORE: 4    	BEST RATIO: 0.11764705882352941      WON: 0    	WON AVG RATIO: 0                        	
GEN: 10    BEST FITNESS: 9169.408691482031        	BEST SCORE: 4    	BEST RATIO: 0.14814814814814814      WON: 0    	WON AVG RATIO: 0                        	
GEN: 11    BEST FITNESS: 21371.231681030742       	BEST SCORE: 6    	BEST RATIO: 0.1016949152542373       WON: 0    	WON AVG RATIO: 0                        	
GEN: 12    BEST FITNESS: 14643.750125116621       	BEST SCORE: 5    	BEST RATIO: 0.15625                  WON: 0    	WON AVG RATIO: 0                        	
GEN: 13    BEST FITNESS: 9189.58683997628         	BEST SCORE: 4    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 14    BEST FITNESS: 14634.0258346237         	BEST SCORE: 5    	BEST RATIO: 0.14285714285714285      WON: 0    	WON AVG RATIO: 0                        	
GEN: 15    BEST FITNESS: 9154.332481055757        	BEST SCORE: 4    	BEST RATIO: 0.11764705882352941      WON: 0    	WON AVG RATIO: 0                        	
GEN: 16    BEST FITNESS: 9171.433554439702        	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      WON: 0    	WON AVG RATIO: 0                        	
GEN: 17    BEST FITNESS: 50476.61514697809        	BEST SCORE: 9    	BEST RATIO: 0.1323529411764706       WON: 0    	WON AVG RATIO: 0                        	
GEN: 18    BEST FITNESS: 29665.45736107764        	BEST SCORE: 7    	BEST RATIO: 0.14                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 19    BEST FITNESS: 78096.23062041242        	BEST SCORE: 11   	BEST RATIO: 0.13095238095238096      WON: 0    	WON AVG RATIO: 0                        	
GEN: 20    BEST FITNESS: 63494.574302022156       	BEST SCORE: 10   	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 21    BEST FITNESS: 139583.77026073006       	BEST SCORE: 14   	BEST RATIO: 0.06060606060606061      WON: 0    	WON AVG RATIO: 0                        	
GEN: 22    BEST FITNESS: 759023.9838115248        	BEST SCORE: 19   	BEST RATIO: 0.07279693486590039      WON: 0    	WON AVG RATIO: 0                        	
GEN: 23    BEST FITNESS: 2388242.5506520616       	BEST SCORE: 21   	BEST RATIO: 0.08571428571428572      WON: 0    	WON AVG RATIO: 0                        	
GEN: 24    BEST FITNESS: 8738670.459868947        	BEST SCORE: 23   	BEST RATIO: 0.0749185667752443       WON: 0    	WON AVG RATIO: 0                        	
GEN: 25    BEST FITNESS: 33971628.51803317        	BEST SCORE: 25   	BEST RATIO: 0.07763975155279502      WON: 0    	WON AVG RATIO: 0                        	
GEN: 26    BEST FITNESS: 537436648.5498013        	BEST SCORE: 29   	BEST RATIO: 0.0703883495145631       WON: 0    	WON AVG RATIO: 0                        	
GEN: 27    BEST FITNESS: 67562861.58761019        	BEST SCORE: 26   	BEST RATIO: 0.08280254777070063      WON: 0    	WON AVG RATIO: 0                        	
GEN: 28    BEST FITNESS: 134705071.74993864       	BEST SCORE: 27   	BEST RATIO: 0.06994818652849741      WON: 0    	WON AVG RATIO: 0                        	
GEN: 29    BEST FITNESS: 537434202.8747106        	BEST SCORE: 29   	BEST RATIO: 0.0651685393258427       WON: 0    	WON AVG RATIO: 0                        	
GEN: 30    BEST FITNESS: 537436355.1760031        	BEST SCORE: 29   	BEST RATIO: 0.06971153846153846      WON: 0    	WON AVG RATIO: 0                        	
GEN: 31    BEST FITNESS: 4295661618.957489        	BEST SCORE: 32   	BEST RATIO: 0.07017543859649122      WON: 0    	WON AVG RATIO: 0                        	
GEN: 32    BEST FITNESS: 34360581259.23747        	BEST SCORE: 35   	BEST RATIO: 0.08064516129032258      WON: 0    	WON AVG RATIO: 0                        	
GEN: 33    BEST FITNESS: 2148134750.557069        	BEST SCORE: 31   	BEST RATIO: 0.07259953161592506      WON: 0    	WON AVG RATIO: 0                        	
GEN: 34    BEST FITNESS: 68720364267.63852        	BEST SCORE: 36   	BEST RATIO: 0.07058823529411765      WON: 0    	WON AVG RATIO: 0                        	
GEN: 35    BEST FITNESS: 1099512728497.986        	BEST SCORE: 40   	BEST RATIO: 0.06633499170812604      WON: 0    	WON AVG RATIO: 0                        	
GEN: 36    BEST FITNESS: 4398047726307.824        	BEST SCORE: 42   	BEST RATIO: 0.06402439024390244      WON: 0    	WON AVG RATIO: 0                        	
GEN: 37    BEST FITNESS: 35184373480225.305       	BEST SCORE: 45   	BEST RATIO: 0.05791505791505792      WON: 0    	WON AVG RATIO: 0                        	
GEN: 38    BEST FITNESS: 274878902400.9311        	BEST SCORE: 38   	BEST RATIO: 0.07335907335907337      WON: 0    	WON AVG RATIO: 0                        	
GEN: 39    BEST FITNESS: 1099512727524.7278       	BEST SCORE: 40   	BEST RATIO: 0.06546644844517185      WON: 0    	WON AVG RATIO: 0                        	
GEN: 40    BEST FITNESS: 4398047717458.455        	BEST SCORE: 42   	BEST RATIO: 0.05817174515235457      WON: 0    	WON AVG RATIO: 0                        	
