GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 2     BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      WON: 0    	
GEN: 3     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 4     BEST FITNESS: 2149.249528362592        	BEST SCORE: 2    	BEST RATIO: 0.5                      WON: 0    	
GEN: 5     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 6     BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       WON: 0    	
GEN: 7     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	
GEN: 8     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 9     BEST FITNESS: 5022.147118486193        	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      WON: 0    	
GEN: 10    BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	
GEN: 11    BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 12    BEST FITNESS: 49898.474030779114       	BEST SCORE: 9    	BEST RATIO: 0.07377049180327869      WON: 0    	
GEN: 13    BEST FITNESS: 14533.407036973536       	BEST SCORE: 5    	BEST RATIO: 0.08064516129032258      WON: 0    	
GEN: 14    BEST FITNESS: 21355.321948503188       	BEST SCORE: 6    	BEST RATIO: 0.0967741935483871       WON: 0    	
GEN: 15    BEST FITNESS: 50103.03850255835        	BEST SCORE: 9    	BEST RATIO: 0.08653846153846154      WON: 0    	
GEN: 16    BEST FITNESS: 49851.606703718935       	BEST SCORE: 9    	BEST RATIO: 0.07142857142857142      WON: 0    	
GEN: 17    BEST FITNESS: 115712.01158134465       	BEST SCORE: 13   	BEST RATIO: 0.10833333333333334      WON: 0    	
GEN: 18    BEST FITNESS: 115033.65112996189       	BEST SCORE: 13   	BEST RATIO: 0.08387096774193549      WON: 0    	
GEN: 19    BEST FITNESS: 464208.96444701403       	BEST SCORE: 18   	BEST RATIO: 0.04044943820224719      WON: 0    	
GEN: 20    BEST FITNESS: 469911.46300082334       	BEST SCORE: 18   	BEST RATIO: 0.059800664451827246     WON: 0    	
GEN: 21    BEST FITNESS: 1307169.0650261403       	BEST SCORE: 20   	BEST RATIO: 0.05934718100890208      WON: 0    	
GEN: 22    BEST FITNESS: 314821.34172322176       	BEST SCORE: 17   	BEST RATIO: 0.05573770491803279      WON: 0    	
GEN: 23    BEST FITNESS: 4506480.349752876        	BEST SCORE: 22   	BEST RATIO: 0.05104408352668213      WON: 0    	
GEN: 24    BEST FITNESS: 8737134.488635752        	BEST SCORE: 23   	BEST RATIO: 0.06824925816023739      WON: 0    	
GEN: 25    BEST FITNESS: 8727222.030041356        	BEST SCORE: 23   	BEST RATIO: 0.04466019417475728      WON: 0    	
GEN: 26    BEST FITNESS: 33967594.36570982        	BEST SCORE: 25   	BEST RATIO: 0.0639386189258312       WON: 0    	
GEN: 27    BEST FITNESS: 268953739.1590533        	BEST SCORE: 28   	BEST RATIO: 0.055666003976143144     WON: 0    	
