GEN: 1     BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       WON: 0    	WON AVG RATIO: 0                        	
GEN: 2     BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 3     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 4     BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      WON: 0    	WON AVG RATIO: 0                        	
GEN: 5     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 6     BEST FITNESS: 5028.82964176195         	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 7     BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 8     BEST FITNESS: 2149.739062976162        	BEST SCORE: 2    	BEST RATIO: 0.13333333333333333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 9     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 10    BEST FITNESS: 5028.82964176195         	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 11    BEST FITNESS: 5001.532216649991        	BEST SCORE: 3    	BEST RATIO: 0.08333333333333333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 12    BEST FITNESS: 9132.894929427055        	BEST SCORE: 4    	BEST RATIO: 0.09302325581395349      WON: 0    	WON AVG RATIO: 0                        	
GEN: 13    BEST FITNESS: 5020.270752177687        	BEST SCORE: 3    	BEST RATIO: 0.15                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 14    BEST FITNESS: 5017.2369705907395       	BEST SCORE: 3    	BEST RATIO: 0.13043478260869565      WON: 0    	WON AVG RATIO: 0                        	
GEN: 15    BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 16    BEST FITNESS: 5025.506959415782        	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      WON: 0    	WON AVG RATIO: 0                        	
GEN: 17    BEST FITNESS: 5006.763496021078        	BEST SCORE: 3    	BEST RATIO: 0.09375                  WON: 0    	WON AVG RATIO: 0                        	
GEN: 18    BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      WON: 0    	WON AVG RATIO: 0                        	
GEN: 19    BEST FITNESS: 9145.069500149822        	BEST SCORE: 4    	BEST RATIO: 0.10526315789473684      WON: 0    	WON AVG RATIO: 0                        	
GEN: 20    BEST FITNESS: 9165.258404742544        	BEST SCORE: 4    	BEST RATIO: 0.13793103448275862      WON: 0    	WON AVG RATIO: 0                        	
GEN: 21    BEST FITNESS: 5026.256363523016        	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      WON: 0    	WON AVG RATIO: 0                        	
GEN: 22    BEST FITNESS: 9186.292042124109        	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222       WON: 0    	WON AVG RATIO: 0                        	
GEN: 23    BEST FITNESS: 14613.600480669787       	BEST SCORE: 5    	BEST RATIO: 0.12195121951219512      WON: 0    	WON AVG RATIO: 0                        	
GEN: 24    BEST FITNESS: 95336.24348507218        	BEST SCORE: 12   	BEST RATIO: 0.13043478260869565      WON: 0    	WON AVG RATIO: 0                        	
GEN: 25    BEST FITNESS: 77583.52162161667        	BEST SCORE: 11   	BEST RATIO: 0.09166666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 26    BEST FITNESS: 50709.18466228551        	BEST SCORE: 9    	BEST RATIO: 0.21428571428571427      WON: 0    	WON AVG RATIO: 0                        	
GEN: 27    BEST FITNESS: 94714.74360126283        	BEST SCORE: 12   	BEST RATIO: 0.09230769230769231      WON: 0    	WON AVG RATIO: 0                        	
GEN: 28    BEST FITNESS: 77613.48330142553        	BEST SCORE: 11   	BEST RATIO: 0.09322033898305085      WON: 0    	WON AVG RATIO: 0                        	
GEN: 29    BEST FITNESS: 75200.02979140732        	BEST SCORE: 11   	BEST RATIO: 0.04263565891472868      WON: 0    	WON AVG RATIO: 0                        	
GEN: 30    BEST FITNESS: 178164.9993295497        	BEST SCORE: 15   	BEST RATIO: 0.12195121951219512      WON: 0    	WON AVG RATIO: 0                        	
GEN: 31    BEST FITNESS: 114559.97087602703       	BEST SCORE: 13   	BEST RATIO: 0.07303370786516854      WON: 0    	WON AVG RATIO: 0                        	
GEN: 32    BEST FITNESS: 230072.30358443913       	BEST SCORE: 16   	BEST RATIO: 0.07920792079207921      WON: 0    	WON AVG RATIO: 0                        	
GEN: 33    BEST FITNESS: 316708.8228158747        	BEST SCORE: 17   	BEST RATIO: 0.06827309236947791      WON: 0    	WON AVG RATIO: 0                        	
GEN: 34    BEST FITNESS: 759737.2398919979        	BEST SCORE: 19   	BEST RATIO: 0.07851239669421488      WON: 0    	WON AVG RATIO: 0                        	
GEN: 35    BEST FITNESS: 268958129.6035209        	BEST SCORE: 28   	BEST RATIO: 0.06320541760722348      WON: 0    	WON AVG RATIO: 0                        	
GEN: 36    BEST FITNESS: 134699158.71518525       	BEST SCORE: 27   	BEST RATIO: 0.05708245243128964      WON: 0    	WON AVG RATIO: 0                        	
GEN: 37    BEST FITNESS: 134698174.0979563        	BEST SCORE: 27   	BEST RATIO: 0.055441478439425054     WON: 0    	WON AVG RATIO: 0                        	
GEN: 38    BEST FITNESS: 537439320.4592644        	BEST SCORE: 29   	BEST RATIO: 0.07733333333333334      WON: 0    	WON AVG RATIO: 0                        	
GEN: 39    BEST FITNESS: 1074346149.9231641       	BEST SCORE: 30   	BEST RATIO: 0.06493506493506493      WON: 0    	WON AVG RATIO: 0                        	
GEN: 40    BEST FITNESS: 268957626.2177641        	BEST SCORE: 28   	BEST RATIO: 0.06222222222222222      WON: 0    	WON AVG RATIO: 0                        	
GEN: 41    BEST FITNESS: 268955955.5629191        	BEST SCORE: 28   	BEST RATIO: 0.05919661733615222      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 2148128743.0083756       	BEST SCORE: 31   	BEST RATIO: 0.062                    WON: 0    	WON AVG RATIO: 0                        	
