GEN: 1     BEST FITNESS: 2149.913226044195        	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      WON: 0    	WON AVG RATIO: 0                        	
GEN: 2     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 3     BEST FITNESS: 9169.408691482031        	BEST SCORE: 4    	BEST RATIO: 0.14814814814814814      WON: 0    	WON AVG RATIO: 0                        	
GEN: 4     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 5     BEST FITNESS: 5026.256363523016        	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      WON: 0    	WON AVG RATIO: 0                        	
GEN: 6     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 7     BEST FITNESS: 5025.506959415782        	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      WON: 0    	WON AVG RATIO: 0                        	
GEN: 8     BEST FITNESS: 5013.96180892374         	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      WON: 0    	WON AVG RATIO: 0                        	
GEN: 9     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 10    BEST FITNESS: 5019.2877281163765       	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      WON: 0    	WON AVG RATIO: 0                        	
GEN: 11    BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      WON: 0    	WON AVG RATIO: 0                        	
GEN: 12    BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 13    BEST FITNESS: 5029.81866597788         	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      WON: 0    	WON AVG RATIO: 0                        	
GEN: 14    BEST FITNESS: 9175.378187074351        	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 15    BEST FITNESS: 21397.106301533524       	BEST SCORE: 6    	BEST RATIO: 0.1111111111111111       WON: 0    	WON AVG RATIO: 0                        	
GEN: 16    BEST FITNESS: 21218.76641406693        	BEST SCORE: 6    	BEST RATIO: 0.06976744186046512      WON: 0    	WON AVG RATIO: 0                        	
GEN: 17    BEST FITNESS: 50552.029525898724       	BEST SCORE: 9    	BEST RATIO: 0.15                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 18    BEST FITNESS: 29683.749154548823       	BEST SCORE: 7    	BEST RATIO: 0.14893617021276595      WON: 0    	WON AVG RATIO: 0                        	
GEN: 19    BEST FITNESS: 29627.728488276865       	BEST SCORE: 7    	BEST RATIO: 0.125                    WON: 0    	WON AVG RATIO: 0                        	
GEN: 20    BEST FITNESS: 62940.89754825417        	BEST SCORE: 10   	BEST RATIO: 0.09345794392523364      WON: 0    	WON AVG RATIO: 0                        	
GEN: 21    BEST FITNESS: 21436.71983542815        	BEST SCORE: 6    	BEST RATIO: 0.13043478260869565      WON: 0    	WON AVG RATIO: 0                        	
GEN: 22    BEST FITNESS: 49863.36960033697        	BEST SCORE: 9    	BEST RATIO: 0.072                    WON: 0    	WON AVG RATIO: 0                        	
GEN: 23    BEST FITNESS: 114747.76834673717       	BEST SCORE: 13   	BEST RATIO: 0.07692307692307693      WON: 0    	WON AVG RATIO: 0                        	
GEN: 24    BEST FITNESS: 93957.03857727387        	BEST SCORE: 12   	BEST RATIO: 0.06976744186046512      WON: 0    	WON AVG RATIO: 0                        	
GEN: 25    BEST FITNESS: 94469.69135896822        	BEST SCORE: 12   	BEST RATIO: 0.08333333333333333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 26    BEST FITNESS: 114347.78248505053       	BEST SCORE: 13   	BEST RATIO: 0.06914893617021277      WON: 0    	WON AVG RATIO: 0                        	
GEN: 27    BEST FITNESS: 757943.6052836612        	BEST SCORE: 19   	BEST RATIO: 0.0657439446366782       WON: 0    	WON AVG RATIO: 0                        	
GEN: 28    BEST FITNESS: 317353.06555062725       	BEST SCORE: 17   	BEST RATIO: 0.07423580786026202      WON: 0    	WON AVG RATIO: 0                        	
GEN: 29    BEST FITNESS: 4511091.282055498        	BEST SCORE: 22   	BEST RATIO: 0.06451612903225806      WON: 0    	WON AVG RATIO: 0                        	
GEN: 30    BEST FITNESS: 1309054.245987793        	BEST SCORE: 20   	BEST RATIO: 0.06825938566552901      WON: 0    	WON AVG RATIO: 0                        	
GEN: 31    BEST FITNESS: 2388702.6416881117       	BEST SCORE: 21   	BEST RATIO: 0.08974358974358974      WON: 0    	WON AVG RATIO: 0                        	
GEN: 32    BEST FITNESS: 2387389.785932585        	BEST SCORE: 21   	BEST RATIO: 0.07924528301886792      WON: 0    	WON AVG RATIO: 0                        	
GEN: 33    BEST FITNESS: 4512020.828838401        	BEST SCORE: 22   	BEST RATIO: 0.06832298136645963      WON: 0    	WON AVG RATIO: 0                        	
GEN: 34    BEST FITNESS: 33971854.873097725       	BEST SCORE: 25   	BEST RATIO: 0.07861635220125786      WON: 0    	WON AVG RATIO: 0                        	
GEN: 35    BEST FITNESS: 17157083.709115714       	BEST SCORE: 24   	BEST RATIO: 0.06504065040650407      WON: 0    	WON AVG RATIO: 0                        	
GEN: 36    BEST FITNESS: 134706053.08849272       	BEST SCORE: 27   	BEST RATIO: 0.07277628032345014      WON: 0    	WON AVG RATIO: 0                        	
GEN: 37    BEST FITNESS: 17158858.758410044       	BEST SCORE: 24   	BEST RATIO: 0.0712166172106825       WON: 0    	WON AVG RATIO: 0                        	
GEN: 38    BEST FITNESS: 4514293.320149829        	BEST SCORE: 22   	BEST RATIO: 0.08029197080291971      WON: 0    	WON AVG RATIO: 0                        	
GEN: 39    BEST FITNESS: 8740502.08277849         	BEST SCORE: 23   	BEST RATIO: 0.08518518518518518      WON: 0    	WON AVG RATIO: 0                        	
GEN: 40    BEST FITNESS: 8739669.469902571        	BEST SCORE: 23   	BEST RATIO: 0.08013937282229965      WON: 0    	WON AVG RATIO: 0                        	
GEN: 41    BEST FITNESS: 8736978.514188021        	BEST SCORE: 23   	BEST RATIO: 0.06764705882352941      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 2148137915.357449        	BEST SCORE: 31   	BEST RATIO: 0.08010335917312661      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 1074351097.1848643       	BEST SCORE: 30   	BEST RATIO: 0.07537688442211055      WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 537434950.0157747        	BEST SCORE: 29   	BEST RATIO: 0.06666666666666667      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 1074352372.6081953       	BEST SCORE: 30   	BEST RATIO: 0.07874015748031496      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 134703410.36999935       	BEST SCORE: 27   	BEST RATIO: 0.06569343065693431      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 1074350870.3653276       	BEST SCORE: 30   	BEST RATIO: 0.07481296758104738      WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 67558344.79297526        	BEST SCORE: 26   	BEST RATIO: 0.06701030927835051      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 134709297.60551566       	BEST SCORE: 27   	BEST RATIO: 0.084375                 WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 268957047.9978546        	BEST SCORE: 28   	BEST RATIO: 0.0611353711790393       WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 2148136423.86963         	BEST SCORE: 31   	BEST RATIO: 0.07635467980295567      WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 1074347407.552013        	BEST SCORE: 30   	BEST RATIO: 0.06726457399103139      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 1074351774.5177548       	BEST SCORE: 30   	BEST RATIO: 0.07712082262210797      WON: 0    	WON AVG RATIO: 0                        	
