GEN: 1     AVG FITNESS: 23.74739984855113        	AVG SCORE: 0.032     	AVG RATIO: 0.009495548961424332     	BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 2       	WON: 0    	
GEN: 2     AVG FITNESS: 25.130128623366257       	AVG SCORE: 0.036     	AVG RATIO: 0.01310520567892246      	BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 27.854890728262585       	AVG SCORE: 0.038     	AVG RATIO: 0.011356843992827256     	BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 36.688195494830524       	AVG SCORE: 0.053     	AVG RATIO: 0.015282583621683967     	BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 30.63464348991563        	AVG SCORE: 0.05      	AVG RATIO: 0.014029180695847363     	BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 34.75840850858042        	AVG SCORE: 0.056     	AVG RATIO: 0.015721504772599666     	BEST FITNESS: 2149.249528362592        	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 39.81798559869013        	AVG SCORE: 0.066     	AVG RATIO: 0.01827748546109111      	BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 8     AVG FITNESS: 38.0376842338978         	AVG SCORE: 0.057     	AVG RATIO: 0.013885505481120584     	BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 2       	WON: 0    	
GEN: 9     AVG FITNESS: 44.238613876123196       	AVG SCORE: 0.066     	AVG RATIO: 0.014123689278835866     	BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 3       	WON: 0    	
GEN: 10    AVG FITNESS: 54.24693523473573        	AVG SCORE: 0.081     	AVG RATIO: 0.01624222979747343      	BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 4       	WON: 0    	
GEN: 11    AVG FITNESS: 67.12254481903072        	AVG SCORE: 0.098     	AVG RATIO: 0.020420921025213586     	BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 59.38281633312999        	AVG SCORE: 0.083     	AVG RATIO: 0.01877403302420267      	BEST FITNESS: 5028.82964176195         	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 55.63697053107737        	AVG SCORE: 0.087     	AVG RATIO: 0.019576957695769576     	BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 4       	WON: 0    	
GEN: 14    AVG FITNESS: 52.23519337717057        	AVG SCORE: 0.084     	AVG RATIO: 0.017387704409025047     	BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 3       	WON: 0    	
GEN: 15    AVG FITNESS: 60.54083099869404        	AVG SCORE: 0.094     	AVG RATIO: 0.019789473684210527     	BEST FITNESS: 2148.966348148078        	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 1       	WON: 0    	
GEN: 16    AVG FITNESS: 67.09777826162151        	AVG SCORE: 0.1       	AVG RATIO: 0.020403999183840036     	BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 3       	WON: 0    	
GEN: 17    AVG FITNESS: 82.8449851110499         	AVG SCORE: 0.126     	AVG RATIO: 0.023895315759529683     	BEST FITNESS: 5028.255347850331        	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 4       	WON: 0    	
