GEN: 1     AVG FITNESS: 5442.499999999999        	AVG SCORE: 0.038     	AVG RATIO: 0.011030478955007257     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 2     AVG FITNESS: 5290.833333333334        	AVG SCORE: 0.025     	AVG RATIO: 0.006860592755214051     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 5255.833333333334        	AVG SCORE: 0.022     	AVG RATIO: 0.005823186871360508     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 5315.0                   	AVG SCORE: 0.027     	AVG RATIO: 0.007254164427727029     	BEST FITNESS: 16666.666666666668       	BEST SCORE: 1    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 5372.500000000001        	AVG SCORE: 0.032     	AVG RATIO: 0.009135027119611762     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 5407.5                   	AVG SCORE: 0.035     	AVG RATIO: 0.010063254744105809     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 5336.666666666666        	AVG SCORE: 0.029     	AVG RATIO: 0.00837424198671672      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 5371.666666666668        	AVG SCORE: 0.032     	AVG RATIO: 0.009174311926605505     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 5499.16666666667         	AVG SCORE: 0.043     	AVG RATIO: 0.01288968824940048      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 5418.333333333334        	AVG SCORE: 0.036     	AVG RATIO: 0.01041365345675441      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 5581.666666666667        	AVG SCORE: 0.05      	AVG RATIO: 0.014033118158854897     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 5605.833333333334        	AVG SCORE: 0.052     	AVG RATIO: 0.014484679665738161     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 5500.833333333334        	AVG SCORE: 0.043     	AVG RATIO: 0.012691853600944509     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 14    AVG FITNESS: 5639.166666666667        	AVG SCORE: 0.055     	AVG RATIO: 0.015201768933112217     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 15    AVG FITNESS: 5893.833333333337        	AVG SCORE: 0.077     	AVG RATIO: 0.020754716981132074     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 16    AVG FITNESS: 5710.000000000001        	AVG SCORE: 0.061     	AVG RATIO: 0.016048408313601683     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      TOO_OLD: 0       	WON: 0    	
GEN: 17    AVG FITNESS: 5745.000000000003        	AVG SCORE: 0.064     	AVG RATIO: 0.016962629207527165     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 18    AVG FITNESS: 5888.16666666667         	AVG SCORE: 0.077     	AVG RATIO: 0.020067761271826946     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 19    AVG FITNESS: 5906.333333333337        	AVG SCORE: 0.078     	AVG RATIO: 0.01908023483365949      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 20    AVG FITNESS: 5846.666666666671        	AVG SCORE: 0.073     	AVG RATIO: 0.018513821962972354     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 21    AVG FITNESS: 5986.666666666671        	AVG SCORE: 0.085     	AVG RATIO: 0.01971243042671614      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 2       	WON: 0    	
