GEN: 1     AVG FITNESS: 0.028577633477633483     	AVG SCORE: 0.035     	AVG RATIO: 0.010883084577114429     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 0.02965194805194805      	AVG SCORE: 0.035     	AVG RATIO: 0.015384615384615387     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 0.028604677022324082     	AVG SCORE: 0.033     	AVG RATIO: 0.012504736642667678     	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 0.02509646325896326      	AVG SCORE: 0.03      	AVG RATIO: 0.010810810810810811     	BEST FITNESS: 1.6923076923076923       	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 0.035351215451215445     	AVG SCORE: 0.042     	AVG RATIO: 0.014060930699698694     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 0.03761916653607829      	AVG SCORE: 0.044     	AVG RATIO: 0.013505217925107426     	BEST FITNESS: 0.5                      	BEST SCORE: 1    	BEST RATIO: 1.0                      TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 0.03053530742133683      	AVG SCORE: 0.036     	AVG RATIO: 0.010638297872340425     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 0.0533632312132312       	AVG SCORE: 0.062     	AVG RATIO: 0.015225933202357564     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 9     AVG FITNESS: 0.06857160668279086      	AVG SCORE: 0.079     	AVG RATIO: 0.017966795542415284     	BEST FITNESS: 2.55                     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 0.05440523504273502      	AVG SCORE: 0.062     	AVG RATIO: 0.01393258426966292      	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 0.061602534965034914     	AVG SCORE: 0.071     	AVG RATIO: 0.015760266370699223     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 12    AVG FITNESS: 0.06238339136353839      	AVG SCORE: 0.072     	AVG RATIO: 0.016427104722792605     	BEST FITNESS: 1.2                      	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 0.07253129639967872      	AVG SCORE: 0.084     	AVG RATIO: 0.018712408108710183     	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 14    AVG FITNESS: 0.07799534479681537      	AVG SCORE: 0.089     	AVG RATIO: 0.018780333403671662     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 15    AVG FITNESS: 0.07887363708702712      	AVG SCORE: 0.091     	AVG RATIO: 0.019722583441699176     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 16    AVG FITNESS: 0.07539310260001433      	AVG SCORE: 0.087     	AVG RATIO: 0.02011095700416089      	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 17    AVG FITNESS: 0.08890682267079321      	AVG SCORE: 0.102     	AVG RATIO: 0.020867430441898527     	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 18    AVG FITNESS: 0.09846517630714355      	AVG SCORE: 0.114     	AVG RATIO: 0.022436528242471953     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 19    AVG FITNESS: 0.08700962990547385      	AVG SCORE: 0.099     	AVG RATIO: 0.020659432387312188     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 20    AVG FITNESS: 0.1091622129934049       	AVG SCORE: 0.125     	AVG RATIO: 0.02448100274187231      	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 21    AVG FITNESS: 0.10181640022773918      	AVG SCORE: 0.115     	AVG RATIO: 0.021726808993009637     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 22    AVG FITNESS: 0.10936568000096399      	AVG SCORE: 0.126     	AVG RATIO: 0.023895315759529683     	BEST FITNESS: 3.3043478260869565       	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      TOO_OLD: 0       	WON: 0    	
GEN: 23    AVG FITNESS: 0.12659832223160392      	AVG SCORE: 0.145     	AVG RATIO: 0.025627430187345347     	BEST FITNESS: 3.2                      	BEST SCORE: 4    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 24    AVG FITNESS: 0.1107965516710721       	AVG SCORE: 0.127     	AVG RATIO: 0.022837619133249415     	BEST FITNESS: 3.0588235294117645       	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       TOO_OLD: 1       	WON: 0    	
GEN: 25    AVG FITNESS: 0.12366045007592658      	AVG SCORE: 0.141     	AVG RATIO: 0.0240450204638472       	BEST FITNESS: 1.0                      	BEST SCORE: 2    	BEST RATIO: 1.0                      TOO_OLD: 0       	WON: 0    	
GEN: 26    AVG FITNESS: 0.121282739525472        	AVG SCORE: 0.138     	AVG RATIO: 0.023123324396782843     	BEST FITNESS: 2.526315789473684        	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 0       	WON: 0    	
GEN: 27    AVG FITNESS: 0.11187416106508145      	AVG SCORE: 0.125     	AVG RATIO: 0.021139861322509723     	BEST FITNESS: 2.55                     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 28    AVG FITNESS: 0.13280084837510098      	AVG SCORE: 0.15      	AVG RATIO: 0.025041736227045072     	BEST FITNESS: 2.608695652173913        	BEST SCORE: 3    	BEST RATIO: 0.15                     TOO_OLD: 0       	WON: 0    	
GEN: 29    AVG FITNESS: 0.12612541301870286      	AVG SCORE: 0.143     	AVG RATIO: 0.022406769037919147     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 4       	WON: 0    	
GEN: 30    AVG FITNESS: 0.1313410234808639       	AVG SCORE: 0.148     	AVG RATIO: 0.024025974025974024     	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 31    AVG FITNESS: 0.12101658084378838      	AVG SCORE: 0.139     	AVG RATIO: 0.024211809789235327     	BEST FITNESS: 4.363636363636363        	BEST SCORE: 6    	BEST RATIO: 0.375                    TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 0.14076291035297017      	AVG SCORE: 0.159     	AVG RATIO: 0.02652210175145955      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 0.1344133277022619       	AVG SCORE: 0.153     	AVG RATIO: 0.02589708869329722      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 34    AVG FITNESS: 0.12048096069994671      	AVG SCORE: 0.137     	AVG RATIO: 0.02477396021699819      	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 0.12890196879030869      	AVG SCORE: 0.147     	AVG RATIO: 0.02442266157168965      	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 1       	WON: 0    	
GEN: 36    AVG FITNESS: 0.1349244134259637       	AVG SCORE: 0.153     	AVG RATIO: 0.026020408163265306     	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 37    AVG FITNESS: 0.1331130875144433       	AVG SCORE: 0.151     	AVG RATIO: 0.024649036891936007     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 38    AVG FITNESS: 0.14340056039419816      	AVG SCORE: 0.162     	AVG RATIO: 0.025924147863658188     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 39    AVG FITNESS: 0.13329083123243893      	AVG SCORE: 0.152     	AVG RATIO: 0.025745257452574527     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
