GEN: 1     AVG FITNESS: 0.02579296726665149      	AVG SCORE: 0.032     	AVG RATIO: 0.01014906438312718      	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 0.03319953102453103      	AVG SCORE: 0.039     	AVG RATIO: 0.013175675675675676     	BEST FITNESS: 0.6666666666666666       	BEST SCORE: 1    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 0.02837053044994222      	AVG SCORE: 0.034     	AVG RATIO: 0.011250827266710789     	BEST FITNESS: 0.5                      	BEST SCORE: 1    	BEST RATIO: 1.0                      TOO_OLD: 1       	WON: 0    	
GEN: 4     AVG FITNESS: 0.02699996392496393      	AVG SCORE: 0.032     	AVG RATIO: 0.009782940996637115     	BEST FITNESS: 0.5                      	BEST SCORE: 1    	BEST RATIO: 1.0                      TOO_OLD: 1       	WON: 0    	
GEN: 5     AVG FITNESS: 0.026985912698412697     	AVG SCORE: 0.032     	AVG RATIO: 0.009395184967704051     	BEST FITNESS: 0.5                      	BEST SCORE: 1    	BEST RATIO: 1.0                      TOO_OLD: 1       	WON: 0    	
GEN: 6     AVG FITNESS: 0.030859819918643453     	AVG SCORE: 0.036     	AVG RATIO: 0.00997506234413965      	BEST FITNESS: 1.6666666666666667       	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 2       	WON: 0    	
GEN: 7     AVG FITNESS: 0.04043557882176303      	AVG SCORE: 0.048     	AVG RATIO: 0.013441612993559227     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 1       	WON: 0    	
GEN: 8     AVG FITNESS: 0.0449447645491763       	AVG SCORE: 0.051     	AVG RATIO: 0.01239067055393586      	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 3       	WON: 0    	
GEN: 9     AVG FITNESS: 0.04627613775113772      	AVG SCORE: 0.054     	AVG RATIO: 0.012491325468424705     	BEST FITNESS: 1.6923076923076923       	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 4       	WON: 0    	
GEN: 10    AVG FITNESS: 0.06607879630689226      	AVG SCORE: 0.077     	AVG RATIO: 0.01787787322962619      	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 2       	WON: 0    	
GEN: 11    AVG FITNESS: 0.06743120049884752      	AVG SCORE: 0.078     	AVG RATIO: 0.015691007845503924     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 5       	WON: 0    	
GEN: 12    AVG FITNESS: 0.0713192087908651       	AVG SCORE: 0.081     	AVG RATIO: 0.015643105446118192     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 5       	WON: 0    	
GEN: 13    AVG FITNESS: 0.06646791003114526      	AVG SCORE: 0.076     	AVG RATIO: 0.015557830092118731     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 7       	WON: 0    	
GEN: 14    AVG FITNESS: 0.0887097774774245       	AVG SCORE: 0.103     	AVG RATIO: 0.021171634121274405     	BEST FITNESS: 2.1818181818181817       	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 3       	WON: 0    	
GEN: 15    AVG FITNESS: 0.0672382238676356       	AVG SCORE: 0.077     	AVG RATIO: 0.014193548387096775     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 10      	WON: 0    	
GEN: 16    AVG FITNESS: 0.07725240723328955      	AVG SCORE: 0.089     	AVG RATIO: 0.019470575366440604     	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 17    AVG FITNESS: 0.08766769844362719      	AVG SCORE: 0.104     	AVG RATIO: 0.02180293501048218      	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 2       	WON: 0    	
GEN: 18    AVG FITNESS: 0.08206476142536512      	AVG SCORE: 0.094     	AVG RATIO: 0.019097927671678182     	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 2       	WON: 0    	
GEN: 19    AVG FITNESS: 0.08954025178897469      	AVG SCORE: 0.102     	AVG RATIO: 0.021433074175246897     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 20    AVG FITNESS: 0.09249076438267609      	AVG SCORE: 0.107     	AVG RATIO: 0.022043675319324267     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 21    AVG FITNESS: 0.09208124278112667      	AVG SCORE: 0.105     	AVG RATIO: 0.022217520101565805     	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 22    AVG FITNESS: 0.11738512505717809      	AVG SCORE: 0.135     	AVG RATIO: 0.027217741935483875     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 0       	WON: 0    	
GEN: 23    AVG FITNESS: 0.12049259597042103      	AVG SCORE: 0.139     	AVG RATIO: 0.02722287504896201      	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 24    AVG FITNESS: 0.12772618970296984      	AVG SCORE: 0.147     	AVG RATIO: 0.02767840331387686      	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 25    AVG FITNESS: 0.11920769355916411      	AVG SCORE: 0.136     	AVG RATIO: 0.025250649832900113     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 26    AVG FITNESS: 0.12285117491297835      	AVG SCORE: 0.141     	AVG RATIO: 0.026518713560278347     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 0       	WON: 0    	
GEN: 27    AVG FITNESS: 0.1381474973770639       	AVG SCORE: 0.158     	AVG RATIO: 0.027680448493342676     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 28    AVG FITNESS: 0.10641096389420693      	AVG SCORE: 0.121     	AVG RATIO: 0.021476748313809014     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 1       	WON: 0    	
GEN: 29    AVG FITNESS: 0.1232035113579231       	AVG SCORE: 0.14      	AVG RATIO: 0.027131782945736437     	BEST FITNESS: 2.55                     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 30    AVG FITNESS: 0.11568285894532025      	AVG SCORE: 0.133     	AVG RATIO: 0.023843671566869847     	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 31    AVG FITNESS: 0.12666101874132063      	AVG SCORE: 0.144     	AVG RATIO: 0.024431625381744145     	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 0.1499909251008709       	AVG SCORE: 0.172     	AVG RATIO: 0.02883970489604292      	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 0.1452834342343243       	AVG SCORE: 0.167     	AVG RATIO: 0.029960531036957304     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 34    AVG FITNESS: 0.1738470483463905       	AVG SCORE: 0.197     	AVG RATIO: 0.03359481582537517      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 0.1725353583164341       	AVG SCORE: 0.197     	AVG RATIO: 0.03388955788749355      	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 0       	WON: 0    	
GEN: 36    AVG FITNESS: 0.15202842995068222      	AVG SCORE: 0.172     	AVG RATIO: 0.028566683275203453     	BEST FITNESS: 3.2                      	BEST SCORE: 4    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 37    AVG FITNESS: 0.1736822901212995       	AVG SCORE: 0.197     	AVG RATIO: 0.03274056838956291      	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 38    AVG FITNESS: 0.18067557424963865      	AVG SCORE: 0.205     	AVG RATIO: 0.033650689428759026     	BEST FITNESS: 3.1578947368421053       	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 39    AVG FITNESS: 0.16162394684283654      	AVG SCORE: 0.184     	AVG RATIO: 0.029894394800974815     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 40    AVG FITNESS: 0.18820989637039934      	AVG SCORE: 0.213     	AVG RATIO: 0.03550591765294216      	BEST FITNESS: 3.1578947368421053       	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 41    AVG FITNESS: 0.16915587933566256      	AVG SCORE: 0.19      	AVG RATIO: 0.030443839128344818     	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 42    AVG FITNESS: 0.17182497437259345      	AVG SCORE: 0.195     	AVG RATIO: 0.030957294808699794     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 1       	WON: 0    	
GEN: 43    AVG FITNESS: 0.1563064147597664       	AVG SCORE: 0.176     	AVG RATIO: 0.02913424929647409      	BEST FITNESS: 1.2                      	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 0       	WON: 0    	
GEN: 44    AVG FITNESS: 0.17191069634158032      	AVG SCORE: 0.194     	AVG RATIO: 0.032193826750746765     	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 45    AVG FITNESS: 0.1800277428992164       	AVG SCORE: 0.205     	AVG RATIO: 0.03544260027662517      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 46    AVG FITNESS: 0.15179419839511976      	AVG SCORE: 0.171     	AVG RATIO: 0.028753993610223644     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 47    AVG FITNESS: 0.1571642632432667       	AVG SCORE: 0.178     	AVG RATIO: 0.029051738207932103     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 48    AVG FITNESS: 0.15065902504787956      	AVG SCORE: 0.169     	AVG RATIO: 0.02919329763344274      	BEST FITNESS: 1.0                      	BEST SCORE: 2    	BEST RATIO: 1.0                      TOO_OLD: 0       	WON: 0    	
GEN: 49    AVG FITNESS: 0.1794066477328477       	AVG SCORE: 0.205     	AVG RATIO: 0.03525971792225662      	BEST FITNESS: 2.5714285714285716       	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
