GEN: 1     AVG FITNESS: 24.784969976829075       	AVG SCORE: 0.037     	AVG RATIO: 0.012095456031382804     	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 2     AVG FITNESS: 20.732498069222746       	AVG SCORE: 0.028     	AVG RATIO: 0.008020624462904611     	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 28.176893546333027       	AVG SCORE: 0.045     	AVG RATIO: 0.012444690265486724     	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 29.560650629955838       	AVG SCORE: 0.045     	AVG RATIO: 0.011706555671175858     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 5     AVG FITNESS: 33.537619727287904       	AVG SCORE: 0.053     	AVG RATIO: 0.013744813278008298     	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 38.426335012457585       	AVG SCORE: 0.056     	AVG RATIO: 0.014721345951629864     	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 34.98150796030822        	AVG SCORE: 0.054     	AVG RATIO: 0.014770240700218817     	BEST SCORE: 2    	BEST RATIO: 0.14285714285714285      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 42.004767757716664       	AVG SCORE: 0.067     	AVG RATIO: 0.01578699340245052      	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 57.29512198979252        	AVG SCORE: 0.088     	AVG RATIO: 0.019735366674142184     	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 1       	WON: 0    	
GEN: 10    AVG FITNESS: 56.61853331325957        	AVG SCORE: 0.087     	AVG RATIO: 0.020265548567435357     	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 55.37604644583745        	AVG SCORE: 0.082     	AVG RATIO: 0.0185856754306437       	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 2       	WON: 0    	
GEN: 12    AVG FITNESS: 60.859893288306544       	AVG SCORE: 0.088     	AVG RATIO: 0.015104703055269482     	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 11      	WON: 0    	
GEN: 13    AVG FITNESS: 72.55245074570556        	AVG SCORE: 0.102     	AVG RATIO: 0.017364657814096015     	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 12      	WON: 0    	
GEN: 14    AVG FITNESS: 87.87783681392854        	AVG SCORE: 0.132     	AVG RATIO: 0.021442495126705655     	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 11      	WON: 0    	
GEN: 15    AVG FITNESS: 58.187309453991745       	AVG SCORE: 0.089     	AVG RATIO: 0.014599737532808398     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 12      	WON: 0    	
GEN: 16    AVG FITNESS: 84.93254076009038        	AVG SCORE: 0.14      	AVG RATIO: 0.022144890857323633     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 10      	WON: 0    	
