GEN: 1     AVG FITNESS: 20.607481536947052       	AVG SCORE: 0.031     	AVG RATIO: 0.010323010323010322     	BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 37.492462441737345       	AVG SCORE: 0.055     	AVG RATIO: 0.01653140967838894      	BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 33.735260765799076       	AVG SCORE: 0.056     	AVG RATIO: 0.015325670498084292     	BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 4     AVG FITNESS: 39.38296067702061        	AVG SCORE: 0.063     	AVG RATIO: 0.017721518987341773     	BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 61.79728833346039        	AVG SCORE: 0.089     	AVG RATIO: 0.018074735987002436     	BEST FITNESS: 9122.713139149448        	BEST SCORE: 4    	BEST RATIO: 0.0851063829787234       TOO_OLD: 7       	WON: 0    	
GEN: 6     AVG FITNESS: 89.36866344530782        	AVG SCORE: 0.123     	AVG RATIO: 0.02295204329165889      	BEST FITNESS: 9137.840909256109        	BEST SCORE: 4    	BEST RATIO: 0.0975609756097561       TOO_OLD: 7       	WON: 0    	
GEN: 7     AVG FITNESS: 180.38783758840916       	AVG SCORE: 0.205     	AVG RATIO: 0.030138194648632755     	BEST FITNESS: 29527.358298079504       	BEST SCORE: 7    	BEST RATIO: 0.09859154929577464      TOO_OLD: 15      	WON: 0    	
GEN: 8     AVG FITNESS: 187.54802086383611       	AVG SCORE: 0.241     	AVG RATIO: 0.02944770283479961      	BEST FITNESS: 9135.380323820564        	BEST SCORE: 4    	BEST RATIO: 0.09523809523809523      TOO_OLD: 26      	WON: 0    	
GEN: 9     AVG FITNESS: 194.5550762056718        	AVG SCORE: 0.247     	AVG RATIO: 0.033715533715533715     	BEST FITNESS: 9125.293868379831        	BEST SCORE: 4    	BEST RATIO: 0.08695652173913043      TOO_OLD: 12      	WON: 0    	
GEN: 10    AVG FITNESS: 332.65178401488186       	AVG SCORE: 0.328     	AVG RATIO: 0.03847056063804832      	BEST FITNESS: 50047.29177539764        	BEST SCORE: 9    	BEST RATIO: 0.08256880733944955      TOO_OLD: 13      	WON: 0    	
GEN: 11    AVG FITNESS: 379.0858018436627        	AVG SCORE: 0.341     	AVG RATIO: 0.034503693210563596     	BEST FITNESS: 21360.656390941807       	BEST SCORE: 6    	BEST RATIO: 0.09836065573770492      TOO_OLD: 24      	WON: 0    	
GEN: 12    AVG FITNESS: 535.7927137759629        	AVG SCORE: 0.43      	AVG RATIO: 0.03731019522776573      	BEST FITNESS: 29351.37289590633        	BEST SCORE: 7    	BEST RATIO: 0.07368421052631578      TOO_OLD: 28      	WON: 0    	
GEN: 13    AVG FITNESS: 1020.0679548285735       	AVG SCORE: 0.54      	AVG RATIO: 0.04180860947661815      	BEST FITNESS: 115447.2580839466        	BEST SCORE: 13   	BEST RATIO: 0.09701492537313433      TOO_OLD: 26      	WON: 0    	
GEN: 14    AVG FITNESS: 2097.9143937229824       	AVG SCORE: 0.728     	AVG RATIO: 0.0404242323282803       	BEST FITNESS: 472342.6985141647        	BEST SCORE: 18   	BEST RATIO: 0.07725321888412018      TOO_OLD: 47      	WON: 0    	
GEN: 15    AVG FITNESS: 1922.435430298429        	AVG SCORE: 0.807     	AVG RATIO: 0.03493808987791151      	BEST FITNESS: 138555.98369119628       	BEST SCORE: 14   	BEST RATIO: 0.05166051660516605      TOO_OLD: 83      	WON: 0    	
GEN: 16    AVG FITNESS: 1871.3869065485576       	AVG SCORE: 0.832     	AVG RATIO: 0.034856927395366374     	BEST FITNESS: 139658.74867848094       	BEST SCORE: 14   	BEST RATIO: 0.06140350877192982      TOO_OLD: 92      	WON: 0    	
GEN: 17    AVG FITNESS: 3038.480503757237        	AVG SCORE: 0.941     	AVG RATIO: 0.038015594069405724     	BEST FITNESS: 315508.90160082176       	BEST SCORE: 17   	BEST RATIO: 0.05964912280701754      TOO_OLD: 89      	WON: 0    	
GEN: 18    AVG FITNESS: 3401.0896030551357       	AVG SCORE: 0.996     	AVG RATIO: 0.035424669227486126     	BEST FITNESS: 469538.3695398833        	BEST SCORE: 18   	BEST RATIO: 0.05787781350482315      TOO_OLD: 111     	WON: 0    	
GEN: 19    AVG FITNESS: 4911.971401030366        	AVG SCORE: 1.011     	AVG RATIO: 0.03636821468398144      	BEST FITNESS: 472683.4225361556        	BEST SCORE: 18   	BEST RATIO: 0.08071748878923767      TOO_OLD: 103     	WON: 0    	
GEN: 20    AVG FITNESS: 6358.840933785696        	AVG SCORE: 1.108     	AVG RATIO: 0.03828610919143055      	BEST FITNESS: 1311250.3500305328       	BEST SCORE: 20   	BEST RATIO: 0.08368200836820083      TOO_OLD: 94      	WON: 0    	
GEN: 21    AVG FITNESS: 6617.475181716881        	AVG SCORE: 1.227     	AVG RATIO: 0.0404083648937922       	BEST FITNESS: 758833.5622376644        	BEST SCORE: 19   	BEST RATIO: 0.07142857142857142      TOO_OLD: 93      	WON: 0    	
GEN: 22    AVG FITNESS: 10683.339791018636       	AVG SCORE: 1.379     	AVG RATIO: 0.038611227775444484     	BEST FITNESS: 4511041.909989885        	BEST SCORE: 22   	BEST RATIO: 0.06432748538011696      TOO_OLD: 124     	WON: 0    	
GEN: 23    AVG FITNESS: 25412.25216421092        	AVG SCORE: 1.589     	AVG RATIO: 0.03449323810970977      	BEST FITNESS: 17161268.12632201        	BEST SCORE: 24   	BEST RATIO: 0.0821917808219178       TOO_OLD: 206     	WON: 0    	
GEN: 24    AVG FITNESS: 42442.972278687455       	AVG SCORE: 1.625     	AVG RATIO: 0.031136232994826596     	BEST FITNESS: 33961549.96962945        	BEST SCORE: 25   	BEST RATIO: 0.05122950819672131      TOO_OLD: 263     	WON: 0    	
GEN: 25    AVG FITNESS: 129377.3029590688        	AVG SCORE: 2.041     	AVG RATIO: 0.03435795569321931      	BEST FITNESS: 67558721.6370478         	BEST SCORE: 26   	BEST RATIO: 0.06806282722513089      TOO_OLD: 285     	WON: 0    	
GEN: 26    AVG FITNESS: 868778.1884041833        	AVG SCORE: 2.346     	AVG RATIO: 0.03820909135327937      	BEST FITNESS: 537438892.4082316        	BEST SCORE: 29   	BEST RATIO: 0.07611548556430446      TOO_OLD: 253     	WON: 0    	
GEN: 27    AVG FITNESS: 1693998.6951371077       	AVG SCORE: 2.801     	AVG RATIO: 0.04184531723859749      	BEST FITNESS: 1074354653.733831        	BEST SCORE: 30   	BEST RATIO: 0.08571428571428572      TOO_OLD: 247     	WON: 0    	
GEN: 28    AVG FITNESS: 1139143.045514957        	AVG SCORE: 2.45      	AVG RATIO: 0.04113775270333804      	BEST FITNESS: 537432007.4819461        	BEST SCORE: 29   	BEST RATIO: 0.06118143459915612      TOO_OLD: 204     	WON: 0    	
GEN: 29    AVG FITNESS: 828765.0560802526        	AVG SCORE: 2.522     	AVG RATIO: 0.04036556282911058      	BEST FITNESS: 268961306.81295264       	BEST SCORE: 28   	BEST RATIO: 0.07035175879396985      TOO_OLD: 201     	WON: 0    	
GEN: 30    AVG FITNESS: 295557.2692280156        	AVG SCORE: 2.583     	AVG RATIO: 0.04118237910747597      	BEST FITNESS: 67555852.73877428        	BEST SCORE: 26   	BEST RATIO: 0.06088992974238876      TOO_OLD: 194     	WON: 0    	
GEN: 31    AVG FITNESS: 161238.31136475876       	AVG SCORE: 2.677     	AVG RATIO: 0.03851189020442808      	BEST FITNESS: 67551612.63046052        	BEST SCORE: 26   	BEST RATIO: 0.05295315682281059      TOO_OLD: 248     	WON: 0    	
GEN: 32    AVG FITNESS: 2577073.610474786        	AVG SCORE: 2.924     	AVG RATIO: 0.043528098250837366     	BEST FITNESS: 2148136897.207032        	BEST SCORE: 31   	BEST RATIO: 0.0775                   TOO_OLD: 184     	WON: 0    	
GEN: 33    AVG FITNESS: 1056375.9751149893       	AVG SCORE: 3.037     	AVG RATIO: 0.04957638877552686      	BEST FITNESS: 268966748.2037068        	BEST SCORE: 28   	BEST RATIO: 0.08832807570977919      TOO_OLD: 147     	WON: 0    	
GEN: 34    AVG FITNESS: 426156.5984733114        	AVG SCORE: 2.862     	AVG RATIO: 0.045372396081042515     	BEST FITNESS: 134704012.11608496       	BEST SCORE: 27   	BEST RATIO: 0.06716417910447761      TOO_OLD: 169     	WON: 0    	
GEN: 35    AVG FITNESS: 1128357.1313065316       	AVG SCORE: 3.05      	AVG RATIO: 0.04677483667147195      	BEST FITNESS: 537436060.9431461        	BEST SCORE: 29   	BEST RATIO: 0.06904761904761905      TOO_OLD: 149     	WON: 0    	
GEN: 36    AVG FITNESS: 1609508.8918824052       	AVG SCORE: 2.85      	AVG RATIO: 0.04193951879920536      	BEST FITNESS: 1074344238.633979        	BEST SCORE: 30   	BEST RATIO: 0.06172839506172839      TOO_OLD: 186     	WON: 0    	
GEN: 37    AVG FITNESS: 165733.5785622092        	AVG SCORE: 3.18      	AVG RATIO: 0.04554960323144356      	BEST FITNESS: 17156745.492367618       	BEST SCORE: 24   	BEST RATIO: 0.064                    TOO_OLD: 137     	WON: 0    	
GEN: 38    AVG FITNESS: 1139212.3480569548       	AVG SCORE: 3.305     	AVG RATIO: 0.045415819271148246     	BEST FITNESS: 537435839.7081999        	BEST SCORE: 29   	BEST RATIO: 0.06855791962174941      TOO_OLD: 149     	WON: 0    	
GEN: 39    AVG FITNESS: 178405.95596707045       	AVG SCORE: 3.146     	AVG RATIO: 0.04419470394043689      	BEST FITNESS: 67560087.8460916         	BEST SCORE: 26   	BEST RATIO: 0.07222222222222222      TOO_OLD: 172     	WON: 0    	
GEN: 40    AVG FITNESS: 889173.7443420845        	AVG SCORE: 2.893     	AVG RATIO: 0.04264320037734736      	BEST FITNESS: 537438246.4845208        	BEST SCORE: 29   	BEST RATIO: 0.07435897435897436      TOO_OLD: 198     	WON: 0    	
GEN: 41    AVG FITNESS: 1265968.5102272967       	AVG SCORE: 3.198     	AVG RATIO: 0.050295671867136384     	BEST FITNESS: 537433299.5514916        	BEST SCORE: 29   	BEST RATIO: 0.06345733041575492      TOO_OLD: 142     	WON: 0    	
GEN: 42    AVG FITNESS: 1568155.7958134932       	AVG SCORE: 3.463     	AVG RATIO: 0.046032779912002025     	BEST FITNESS: 1074352892.8170424       	BEST SCORE: 30   	BEST RATIO: 0.08021390374331551      TOO_OLD: 179     	WON: 0    	
GEN: 43    AVG FITNESS: 726368.4004226481        	AVG SCORE: 3.272     	AVG RATIO: 0.0469339453489206       	BEST FITNESS: 268963501.1827939        	BEST SCORE: 28   	BEST RATIO: 0.07650273224043716      TOO_OLD: 173     	WON: 0    	
GEN: 44    AVG FITNESS: 1697199.8927282004       	AVG SCORE: 3.153     	AVG RATIO: 0.04882014121144556      	BEST FITNESS: 1074351699.49159         	BEST SCORE: 30   	BEST RATIO: 0.07692307692307693      TOO_OLD: 157     	WON: 0    	
GEN: 45    AVG FITNESS: 39242788.8770547         	AVG SCORE: 3.857     	AVG RATIO: 0.04641786913458414      	BEST FITNESS: 34360569898.94273        	BEST SCORE: 35   	BEST RATIO: 0.06352087114337568      TOO_OLD: 234     	WON: 0    	
GEN: 46    AVG FITNESS: 12885465.342838464       	AVG SCORE: 4.513     	AVG RATIO: 0.04766884255445         	BEST FITNESS: 4295658344.02423         	BEST SCORE: 32   	BEST RATIO: 0.06477732793522267      TOO_OLD: 232     	WON: 0    	
GEN: 47    AVG FITNESS: 19803680.11036354        	AVG SCORE: 3.868     	AVG RATIO: 0.04522125445723973      	BEST FITNESS: 17180654217.05363        	BEST SCORE: 34   	BEST RATIO: 0.06627680311890838      TOO_OLD: 239     	WON: 0    	
GEN: 48    AVG FITNESS: 20771186.493147418       	AVG SCORE: 3.736     	AVG RATIO: 0.04468632258836194      	BEST FITNESS: 17180654691.134056       	BEST SCORE: 34   	BEST RATIO: 0.06692913385826772      TOO_OLD: 241     	WON: 0    	
GEN: 49    AVG FITNESS: 9410768.374351924        	AVG SCORE: 4.676     	AVG RATIO: 0.04920396072943083      	BEST FITNESS: 2148131329.188801        	BEST SCORE: 31   	BEST RATIO: 0.06609808102345416      TOO_OLD: 224     	WON: 0    	
GEN: 50    AVG FITNESS: 212472933.70821184       	AVG SCORE: 3.911     	AVG RATIO: 0.04767128630806548      	BEST FITNESS: 137439880312.73074       	BEST SCORE: 37   	BEST RATIO: 0.057722308892355696     TOO_OLD: 199     	WON: 0    	
GEN: 51    AVG FITNESS: 8729202.822034096        	AVG SCORE: 4.02      	AVG RATIO: 0.05093959476411926      	BEST FITNESS: 2148122988.245216        	BEST SCORE: 31   	BEST RATIO: 0.054673721340388004     TOO_OLD: 109     	WON: 0    	
GEN: 52    AVG FITNESS: 33496210.56298862        	AVG SCORE: 4.384     	AVG RATIO: 0.049684372768793145     	BEST FITNESS: 8590672985.495071        	BEST SCORE: 33   	BEST RATIO: 0.06720977596741344      TOO_OLD: 171     	WON: 0    	
GEN: 53    AVG FITNESS: 33878587.72926189        	AVG SCORE: 4.706     	AVG RATIO: 0.045825908289756856     	BEST FITNESS: 17180646843.559975       	BEST SCORE: 34   	BEST RATIO: 0.057724957555178265     TOO_OLD: 255     	WON: 0    	
GEN: 54    AVG FITNESS: 32124659.648718767       	AVG SCORE: 4.421     	AVG RATIO: 0.04952669019212458      	BEST FITNESS: 17180644051.326298       	BEST SCORE: 34   	BEST RATIO: 0.055105348460291734     TOO_OLD: 186     	WON: 0    	
GEN: 55    AVG FITNESS: 22174546.6686454         	AVG SCORE: 4.758     	AVG RATIO: 0.05006892632775258      	BEST FITNESS: 17180634191.47286        	BEST SCORE: 34   	BEST RATIO: 0.047685834502103785     TOO_OLD: 149     	WON: 0    	
GEN: 56    AVG FITNESS: 18179003.022495627       	AVG SCORE: 5.016     	AVG RATIO: 0.048275331074838314     	BEST FITNESS: 4295646858.552139        	BEST SCORE: 32   	BEST RATIO: 0.05152979066022544      TOO_OLD: 166     	WON: 0    	
GEN: 57    AVG FITNESS: 1120058946.3825116       	AVG SCORE: 4.14      	AVG RATIO: 0.04485811184189141      	BEST FITNESS: 1099512694235.152        	BEST SCORE: 40   	BEST RATIO: 0.04602991944764097      TOO_OLD: 180     	WON: 0    	
GEN: 58    AVG FITNESS: 14290567.284106283       	AVG SCORE: 3.361     	AVG RATIO: 0.04390135583479192      	BEST FITNESS: 2148135071.2521653       	BEST SCORE: 31   	BEST RATIO: 0.07328605200945626      TOO_OLD: 91      	WON: 0    	
GEN: 59    AVG FITNESS: 18505101.875443585       	AVG SCORE: 3.394     	AVG RATIO: 0.04432371723714626      	BEST FITNESS: 4295636603.925911        	BEST SCORE: 32   	BEST RATIO: 0.04395604395604396      TOO_OLD: 109     	WON: 0    	
GEN: 60    AVG FITNESS: 9673342.922714943        	AVG SCORE: 3.745     	AVG RATIO: 0.04311883297065156      	BEST FITNESS: 2148125592.095883        	BEST SCORE: 31   	BEST RATIO: 0.05772811918063315      TOO_OLD: 157     	WON: 0    	
GEN: 61    AVG FITNESS: 40149371.612885885       	AVG SCORE: 3.75      	AVG RATIO: 0.04399446256364532      	BEST FITNESS: 34360545888.85765        	BEST SCORE: 35   	BEST RATIO: 0.04504504504504504      TOO_OLD: 151     	WON: 0    	
GEN: 62    AVG FITNESS: 35693563.64496336        	AVG SCORE: 3.949     	AVG RATIO: 0.03870657884419352      	BEST FITNESS: 8590655284.763994        	BEST SCORE: 33   	BEST RATIO: 0.04874446085672083      TOO_OLD: 219     	WON: 0    	
GEN: 63    AVG FITNESS: 23305210.176951494       	AVG SCORE: 3.577     	AVG RATIO: 0.03919226892229478      	BEST FITNESS: 4295649918.459002        	BEST SCORE: 32   	BEST RATIO: 0.05442176870748299      TOO_OLD: 201     	WON: 0    	
GEN: 64    AVG FITNESS: 1171794373.7279117       	AVG SCORE: 3.756     	AVG RATIO: 0.0386825681270469       	BEST FITNESS: 1099512702682.5886       	BEST SCORE: 40   	BEST RATIO: 0.04962779156327544      TOO_OLD: 230     	WON: 0    	
GEN: 65    AVG FITNESS: 7733115561.530529        	AVG SCORE: 5.292     	AVG RATIO: 0.04313978038819281      	BEST FITNESS: 4398047711143.025        	BEST SCORE: 42   	BEST RATIO: 0.0546875                TOO_OLD: 178     	WON: 0    	
GEN: 66    AVG FITNESS: 31794824580.54703        	AVG SCORE: 5.294     	AVG RATIO: 0.041206139668109217     	BEST FITNESS: 17592187334365.25        	BEST SCORE: 44   	BEST RATIO: 0.04360753221010902      TOO_OLD: 243     	WON: 0    	
GEN: 67    AVG FITNESS: 4004316150.6956205       	AVG SCORE: 5.511     	AVG RATIO: 0.04202923972148288      	BEST FITNESS: 1099512711061.916        	BEST SCORE: 40   	BEST RATIO: 0.05390835579514825      TOO_OLD: 251     	WON: 0    	
GEN: 68    AVG FITNESS: 29200737751.667267       	AVG SCORE: 5.551     	AVG RATIO: 0.042991682027292866     	BEST FITNESS: 17592187351270.4         	BEST SCORE: 44   	BEST RATIO: 0.048834628190899        TOO_OLD: 183     	WON: 0    	
GEN: 69    AVG FITNESS: 25937632590.942772       	AVG SCORE: 5.797     	AVG RATIO: 0.04309140104662226      	BEST FITNESS: 17592187352806.01        	BEST SCORE: 44   	BEST RATIO: 0.04938271604938271      TOO_OLD: 191     	WON: 0    	
GEN: 70    AVG FITNESS: 31274288753.149563       	AVG SCORE: 5.598     	AVG RATIO: 0.04424352114568432      	BEST FITNESS: 8796094281086.285        	BEST SCORE: 43   	BEST RATIO: 0.05415617128463476      TOO_OLD: 135     	WON: 0    	
GEN: 71    AVG FITNESS: 18084303907.13813        	AVG SCORE: 5.639     	AVG RATIO: 0.04579452154916881      	BEST FITNESS: 4398047703440.8955       	BEST SCORE: 42   	BEST RATIO: 0.05103280680437424      TOO_OLD: 116     	WON: 0    	
GEN: 72    AVG FITNESS: 83482093601.80708        	AVG SCORE: 6.699     	AVG RATIO: 0.04531066109329978      	BEST FITNESS: 70368745612352.89        	BEST SCORE: 46   	BEST RATIO: 0.04951560818083961      TOO_OLD: 147     	WON: 0    	
GEN: 73    AVG FITNESS: 88042402219.43024        	AVG SCORE: 6.562     	AVG RATIO: 0.04578757134683283      	BEST FITNESS: 70368745625283.7         	BEST SCORE: 46   	BEST RATIO: 0.05418138987043581      TOO_OLD: 144     	WON: 0    	
GEN: 74    AVG FITNESS: 359468767463.43756       	AVG SCORE: 6.497     	AVG RATIO: 0.04470177031945562      	BEST FITNESS: 281474978297168.75       	BEST SCORE: 48   	BEST RATIO: 0.05627198124267292      TOO_OLD: 161     	WON: 0    	
GEN: 75    AVG FITNESS: 42571949664.36257        	AVG SCORE: 5.709     	AVG RATIO: 0.04610278441759803      	BEST FITNESS: 17592187365347.082       	BEST SCORE: 44   	BEST RATIO: 0.054455445544554455     TOO_OLD: 148     	WON: 0    	
GEN: 76    AVG FITNESS: 184311638386.6682        	AVG SCORE: 6.68      	AVG RATIO: 0.044716971027687034     	BEST FITNESS: 140737489859791.78       	BEST SCORE: 47   	BEST RATIO: 0.0509761388286334       TOO_OLD: 173     	WON: 0    	
GEN: 77    AVG FITNESS: 164515933482.39005       	AVG SCORE: 6.178     	AVG RATIO: 0.0466172675550458       	BEST FITNESS: 140737489877254.4        	BEST SCORE: 47   	BEST RATIO: 0.05759803921568627      TOO_OLD: 97      	WON: 0    	
GEN: 78    AVG FITNESS: 453218751961.1308        	AVG SCORE: 5.8       	AVG RATIO: 0.045149186925418215     	BEST FITNESS: 281474978290228.94       	BEST SCORE: 48   	BEST RATIO: 0.053691275167785234     TOO_OLD: 181     	WON: 0    	
GEN: 79    AVG FITNESS: 8539833691.776435        	AVG SCORE: 6.283     	AVG RATIO: 0.04599089405185413      	BEST FITNESS: 2199024386249.3325       	BEST SCORE: 41   	BEST RATIO: 0.04939759036144578      TOO_OLD: 120     	WON: 0    	
GEN: 80    AVG FITNESS: 32009953110.73097        	AVG SCORE: 5.835     	AVG RATIO: 0.046326804442927125     	BEST FITNESS: 8796094256308.479        	BEST SCORE: 43   	BEST RATIO: 0.044745057232049947     TOO_OLD: 135     	WON: 0    	
