GEN: 1     AVG FITNESS: 24.461835903024674       	AVG SCORE: 0.041     	AVG RATIO: 0.013625789298770357     	BEST FITNESS: 512.933957131351         	BEST SCORE: 1    	BEST RATIO: 0.05555555555555555      TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 49.45567604357805        	AVG SCORE: 0.081     	AVG RATIO: 0.0227400336889388       	BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 52.540402376981326       	AVG SCORE: 0.082     	AVG RATIO: 0.02157327019205472      	BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 1       	WON: 0    	
GEN: 4     AVG FITNESS: 59.47351041590204        	AVG SCORE: 0.092     	AVG RATIO: 0.026010743567995476     	BEST FITNESS: 2149.964098556101        	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 71.3149403662236         	AVG SCORE: 0.099     	AVG RATIO: 0.02641408751334045      	BEST FITNESS: 5025.506959415782        	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 93.60669361079208        	AVG SCORE: 0.136     	AVG RATIO: 0.03235014272121789      	BEST FITNESS: 5015.079034242259        	BEST SCORE: 3    	BEST RATIO: 0.12                     TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 92.15719791930475        	AVG SCORE: 0.137     	AVG RATIO: 0.03000438020148927      	BEST FITNESS: 5022.147118486193        	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 1       	WON: 0    	
GEN: 8     AVG FITNESS: 114.60547185786658       	AVG SCORE: 0.147     	AVG RATIO: 0.031084795939945016     	BEST FITNESS: 5029.81866597788         	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 2       	WON: 0    	
GEN: 9     AVG FITNESS: 88.99462309637843        	AVG SCORE: 0.135     	AVG RATIO: 0.028451001053740783     	BEST FITNESS: 5023.896182881493        	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 3       	WON: 0    	
GEN: 10    AVG FITNESS: 106.26983432921332       	AVG SCORE: 0.151     	AVG RATIO: 0.030382293762575452     	BEST FITNESS: 5026.256363523016        	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 3       	WON: 0    	
GEN: 11    AVG FITNESS: 101.72320856276804       	AVG SCORE: 0.154     	AVG RATIO: 0.032565024318037636     	BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 97.10972814167779        	AVG SCORE: 0.136     	AVG RATIO: 0.024070796460176992     	BEST FITNESS: 5006.763496021078        	BEST SCORE: 3    	BEST RATIO: 0.09375                  TOO_OLD: 6       	WON: 0    	
GEN: 13    AVG FITNESS: 150.35631594960384       	AVG SCORE: 0.203     	AVG RATIO: 0.03426738690074274      	BEST FITNESS: 9132.894929427055        	BEST SCORE: 4    	BEST RATIO: 0.09302325581395349      TOO_OLD: 5       	WON: 0    	
GEN: 14    AVG FITNESS: 157.59021475957567       	AVG SCORE: 0.202     	AVG RATIO: 0.029828706438275253     	BEST FITNESS: 9125.293868379831        	BEST SCORE: 4    	BEST RATIO: 0.08695652173913043      TOO_OLD: 11      	WON: 0    	
GEN: 15    AVG FITNESS: 196.3307035105465        	AVG SCORE: 0.222     	AVG RATIO: 0.032314410480349345     	BEST FITNESS: 14676.174537982479       	BEST SCORE: 5    	BEST RATIO: 0.23809523809523808      TOO_OLD: 5       	WON: 0    	
