GEN: 1     AVG FITNESS: 24.181941634372254       	AVG SCORE: 0.04      	AVG RATIO: 0.012269938650306749     	BEST SCORE: 1    	BEST RATIO: 0.047619047619047616     TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 26.543531219792314       	AVG SCORE: 0.043     	AVG RATIO: 0.01445378151260504      	BEST SCORE: 2    	BEST RATIO: 0.09090909090909091      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 46.63132631752572        	AVG SCORE: 0.075     	AVG RATIO: 0.02074688796680498      	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525      TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 77.29762689536712        	AVG SCORE: 0.115     	AVG RATIO: 0.02707793736755357      	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 104.62589533529064       	AVG SCORE: 0.159     	AVG RATIO: 0.03175554224086279      	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 1       	WON: 0    	
GEN: 6     AVG FITNESS: 140.05221146589355       	AVG SCORE: 0.187     	AVG RATIO: 0.03266946191474493      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 5       	WON: 0    	
GEN: 7     AVG FITNESS: 120.68534830777514       	AVG SCORE: 0.19      	AVG RATIO: 0.03274732850741124      	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 1       	WON: 0    	
GEN: 8     AVG FITNESS: 145.1187929852951        	AVG SCORE: 0.2       	AVG RATIO: 0.03586157432311279      	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 2       	WON: 0    	
GEN: 9     AVG FITNESS: 117.62853291753835       	AVG SCORE: 0.184     	AVG RATIO: 0.03257213666135599      	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525      TOO_OLD: 2       	WON: 0    	
GEN: 10    AVG FITNESS: 152.9778854240189        	AVG SCORE: 0.217     	AVG RATIO: 0.036723641902183114     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 1       	WON: 0    	
GEN: 11    AVG FITNESS: 160.77304768548643       	AVG SCORE: 0.231     	AVG RATIO: 0.04040580724156027      	BEST SCORE: 4    	BEST RATIO: 0.12903225806451613      TOO_OLD: 0       	WON: 0    	
GEN: 12    AVG FITNESS: 175.4229303970804        	AVG SCORE: 0.258     	AVG RATIO: 0.04298567144285238      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 13    AVG FITNESS: 209.3962189775379        	AVG SCORE: 0.272     	AVG RATIO: 0.04369477911646587      	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 2       	WON: 0    	
GEN: 14    AVG FITNESS: 204.04027607672353       	AVG SCORE: 0.296     	AVG RATIO: 0.04574254365631278      	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 5       	WON: 0    	
GEN: 15    AVG FITNESS: 210.80247472364277       	AVG SCORE: 0.294     	AVG RATIO: 0.047282084271469925     	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 1       	WON: 0    	
GEN: 16    AVG FITNESS: 254.63068568505383       	AVG SCORE: 0.323     	AVG RATIO: 0.05013192612137204      	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 1       	WON: 0    	
GEN: 17    AVG FITNESS: 251.8501723717954        	AVG SCORE: 0.361     	AVG RATIO: 0.049465607015620715     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 3       	WON: 0    	
GEN: 18    AVG FITNESS: 292.1935723947143        	AVG SCORE: 0.327     	AVG RATIO: 0.04594632569903049      	BEST SCORE: 5    	BEST RATIO: 0.29411764705882354      TOO_OLD: 4       	WON: 0    	
GEN: 19    AVG FITNESS: 295.2126370855904        	AVG SCORE: 0.368     	AVG RATIO: 0.04821802935010482      	BEST SCORE: 4    	BEST RATIO: 0.06896551724137931      TOO_OLD: 4       	WON: 0    	
GEN: 20    AVG FITNESS: 304.50883826024517       	AVG SCORE: 0.359     	AVG RATIO: 0.050315346881569724     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 4       	WON: 0    	
GEN: 21    AVG FITNESS: 369.1393461021317        	AVG SCORE: 0.421     	AVG RATIO: 0.05519140010487677      	BEST SCORE: 6    	BEST RATIO: 0.1276595744680851       TOO_OLD: 6       	WON: 0    	
GEN: 22    AVG FITNESS: 367.11895150193686       	AVG SCORE: 0.408     	AVG RATIO: 0.04975609756097561      	BEST SCORE: 6    	BEST RATIO: 0.10714285714285714      TOO_OLD: 7       	WON: 0    	
GEN: 23    AVG FITNESS: 489.00310273348407       	AVG SCORE: 0.461     	AVG RATIO: 0.055535477653294786     	BEST SCORE: 7    	BEST RATIO: 0.09090909090909091      TOO_OLD: 8       	WON: 0    	
GEN: 24    AVG FITNESS: 399.000797386747         	AVG SCORE: 0.458     	AVG RATIO: 0.04803859869939165      	BEST SCORE: 5    	BEST RATIO: 0.07142857142857142      TOO_OLD: 19      	WON: 0    	
GEN: 25    AVG FITNESS: 775.9170901256991        	AVG SCORE: 0.514     	AVG RATIO: 0.051200318756848294     	BEST SCORE: 16   	BEST RATIO: 0.09248554913294797      TOO_OLD: 17      	WON: 0    	
GEN: 26    AVG FITNESS: 1283.6446863459266       	AVG SCORE: 0.774     	AVG RATIO: 0.05487804878048781      	BEST SCORE: 11   	BEST RATIO: 0.08527131782945736      TOO_OLD: 30      	WON: 0    	
GEN: 27    AVG FITNESS: 1764.1256216476359       	AVG SCORE: 0.87      	AVG RATIO: 0.05016722408026756      	BEST SCORE: 14   	BEST RATIO: 0.07368421052631578      TOO_OLD: 39      	WON: 0    	
GEN: 28    AVG FITNESS: 2393.7002552268877       	AVG SCORE: 1.004     	AVG RATIO: 0.050722441143780946     	BEST SCORE: 15   	BEST RATIO: 0.0635593220338983       TOO_OLD: 41      	WON: 0    	
GEN: 29    AVG FITNESS: 2255.779801809844        	AVG SCORE: 1.083     	AVG RATIO: 0.05183058147882268      	BEST SCORE: 13   	BEST RATIO: 0.10317460317460317      TOO_OLD: 51      	WON: 0    	
GEN: 30    AVG FITNESS: 4180.913114183744        	AVG SCORE: 1.277     	AVG RATIO: 0.0562134084606242       	BEST SCORE: 19   	BEST RATIO: 0.06934306569343066      TOO_OLD: 44      	WON: 0    	
GEN: 31    AVG FITNESS: 8770.337196635552        	AVG SCORE: 1.418     	AVG RATIO: 0.05810522865104081      	BEST SCORE: 22   	BEST RATIO: 0.10232558139534884      TOO_OLD: 42      	WON: 0    	
GEN: 32    AVG FITNESS: 4325.779606149025        	AVG SCORE: 1.418     	AVG RATIO: 0.056038570976920644     	BEST SCORE: 16   	BEST RATIO: 0.0893854748603352       TOO_OLD: 52      	WON: 0    	
GEN: 33    AVG FITNESS: 5287.990828351171        	AVG SCORE: 1.425     	AVG RATIO: 0.05732791567767631      	BEST SCORE: 19   	BEST RATIO: 0.07196969696969698      TOO_OLD: 50      	WON: 0    	
GEN: 34    AVG FITNESS: 6377.473120748021        	AVG SCORE: 1.578     	AVG RATIO: 0.06275102397900346      	BEST SCORE: 18   	BEST RATIO: 0.07377049180327869      TOO_OLD: 34      	WON: 0    	
GEN: 35    AVG FITNESS: 3803.0018375850927       	AVG SCORE: 1.313     	AVG RATIO: 0.060579496170526895     	BEST SCORE: 17   	BEST RATIO: 0.056856187290969896     TOO_OLD: 26      	WON: 0    	
GEN: 36    AVG FITNESS: 5078.732793837014        	AVG SCORE: 1.377     	AVG RATIO: 0.05863317010857995      	BEST SCORE: 19   	BEST RATIO: 0.06291390728476821      TOO_OLD: 36      	WON: 0    	
GEN: 37    AVG FITNESS: 5950.111078379265        	AVG SCORE: 1.538     	AVG RATIO: 0.05549541747853071      	BEST SCORE: 18   	BEST RATIO: 0.07860262008733625      TOO_OLD: 60      	WON: 0    	
GEN: 38    AVG FITNESS: 5317.6551584986955       	AVG SCORE: 1.565     	AVG RATIO: 0.05907443756605767      	BEST SCORE: 17   	BEST RATIO: 0.07834101382488479      TOO_OLD: 50      	WON: 0    	
GEN: 39    AVG FITNESS: 14506.91738653555        	AVG SCORE: 1.533     	AVG RATIO: 0.05568268497330282      	BEST SCORE: 23   	BEST RATIO: 0.09126984126984126      TOO_OLD: 62      	WON: 0    	
