GEN: 1     AVG FITNESS: 5430.833333333334        	AVG SCORE: 0.037     	AVG RATIO: 0.009964987880420145     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 3       	WON: 0    	
GEN: 2     AVG FITNESS: 5442.5                   	AVG SCORE: 0.038     	AVG RATIO: 0.008960150907804764     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 5       	WON: 0    	
GEN: 3     AVG FITNESS: 5395.833333333335        	AVG SCORE: 0.034     	AVG RATIO: 0.008831168831168832     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 4     AVG FITNESS: 5419.166666666668        	AVG SCORE: 0.036     	AVG RATIO: 0.009814612868047981     	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 2       	WON: 0    	
GEN: 5     AVG FITNESS: 5430.0                   	AVG SCORE: 0.037     	AVG RATIO: 0.010740203193033381     	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 1       	WON: 0    	
GEN: 6     AVG FITNESS: 5465.833333333335        	AVG SCORE: 0.04      	AVG RATIO: 0.010471204188481676     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 7     AVG FITNESS: 5326.666666666667        	AVG SCORE: 0.028     	AVG RATIO: 0.008064516129032258     	BEST SCORE: 1    	BEST RATIO: 0.09090909090909091      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 5453.333333333333        	AVG SCORE: 0.039     	AVG RATIO: 0.010093167701863354     	BEST SCORE: 2    	BEST RATIO: 0.125                    TOO_OLD: 1       	WON: 0    	
GEN: 9     AVG FITNESS: 5396.666666666668        	AVG SCORE: 0.034     	AVG RATIO: 0.008854166666666668     	BEST SCORE: 1    	BEST RATIO: 0.2                      TOO_OLD: 3       	WON: 0    	
GEN: 10    AVG FITNESS: 5670.5                   	AVG SCORE: 0.058     	AVG RATIO: 0.014661274014155713     	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 4       	WON: 0    	
GEN: 11    AVG FITNESS: 5454.166666666667        	AVG SCORE: 0.039     	AVG RATIO: 0.010782416367155101     	BEST SCORE: 2    	BEST RATIO: 0.14285714285714285      TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 5635.166666666669        	AVG SCORE: 0.055     	AVG RATIO: 0.014424337791765014     	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 5559.999999999999        	AVG SCORE: 0.048     	AVG RATIO: 0.012282497441146368     	BEST SCORE: 1    	BEST RATIO: 0.14285714285714285      TOO_OLD: 3       	WON: 0    	
GEN: 14    AVG FITNESS: 5792.500000000005        	AVG SCORE: 0.068     	AVG RATIO: 0.014592274678111588     	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 9       	WON: 0    	
GEN: 15    AVG FITNESS: 5742.500000000005        	AVG SCORE: 0.064     	AVG RATIO: 0.01610062893081761      	BEST SCORE: 2    	BEST RATIO: 0.09523809523809523      TOO_OLD: 2       	WON: 0    	
GEN: 16    AVG FITNESS: 5825.000000000001        	AVG SCORE: 0.071     	AVG RATIO: 0.017342452369320954     	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 4       	WON: 0    	
GEN: 17    AVG FITNESS: 5996.66666666667         	AVG SCORE: 0.086     	AVG RATIO: 0.020500595947556613     	BEST SCORE: 2    	BEST RATIO: 0.14285714285714285      TOO_OLD: 2       	WON: 0    	
GEN: 18    AVG FITNESS: 6011.666666666671        	AVG SCORE: 0.087     	AVG RATIO: 0.022451612903225806     	BEST SCORE: 2    	BEST RATIO: 0.10526315789473684      TOO_OLD: 0       	WON: 0    	
GEN: 19    AVG FITNESS: 6027.666666666669        	AVG SCORE: 0.089     	AVG RATIO: 0.020549526668205954     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 4       	WON: 0    	
GEN: 20    AVG FITNESS: 6276.3333333333385       	AVG SCORE: 0.11      	AVG RATIO: 0.02491506228765572      	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 2       	WON: 0    	
GEN: 21    AVG FITNESS: 6296.500000000003        	AVG SCORE: 0.112     	AVG RATIO: 0.025454545454545452     	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 2       	WON: 0    	
GEN: 22    AVG FITNESS: 6515.500000000008        	AVG SCORE: 0.131     	AVG RATIO: 0.030408542246982362     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 23    AVG FITNESS: 6374.000000000005        	AVG SCORE: 0.119     	AVG RATIO: 0.0240501212611156       	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 6       	WON: 0    	
GEN: 24    AVG FITNESS: 6540.166666666673        	AVG SCORE: 0.133     	AVG RATIO: 0.027054515866558177     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 5       	WON: 0    	
GEN: 25    AVG FITNESS: 6687.666666666675        	AVG SCORE: 0.146     	AVG RATIO: 0.030743314381975154     	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 3       	WON: 0    	
GEN: 26    AVG FITNESS: 6320.16666666667         	AVG SCORE: 0.114     	AVG RATIO: 0.022845691382765532     	BEST SCORE: 3    	BEST RATIO: 0.6                      TOO_OLD: 7       	WON: 0    	
GEN: 27    AVG FITNESS: 6769.166666666677        	AVG SCORE: 0.153     	AVG RATIO: 0.026498094908209213     	BEST SCORE: 2    	BEST RATIO: 0.1                      TOO_OLD: 10      	WON: 0    	
GEN: 28    AVG FITNESS: 6725.500000000006        	AVG SCORE: 0.149     	AVG RATIO: 0.026493598862019914     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 10      	WON: 0    	
GEN: 29    AVG FITNESS: 6845.738095238105        	AVG SCORE: 0.16      	AVG RATIO: 0.030452988199467075     	BEST SCORE: 5    	BEST RATIO: 0.19230769230769232      TOO_OLD: 6       	WON: 0    	
GEN: 30    AVG FITNESS: 6963.00000000001         	AVG SCORE: 0.17      	AVG RATIO: 0.029360967184801384     	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 12      	WON: 0    	
GEN: 31    AVG FITNESS: 6935.500000000006        	AVG SCORE: 0.168     	AVG RATIO: 0.03137840866641763      	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 5       	WON: 0    	
GEN: 32    AVG FITNESS: 6743.000000000009        	AVG SCORE: 0.151     	AVG RATIO: 0.025627970128988455     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 10      	WON: 0    	
GEN: 33    AVG FITNESS: 7317.404761904777        	AVG SCORE: 0.201     	AVG RATIO: 0.03343869572450508      	BEST SCORE: 5    	BEST RATIO: 0.15625                  TOO_OLD: 11      	WON: 0    	
GEN: 34    AVG FITNESS: 6933.000000000009        	AVG SCORE: 0.168     	AVG RATIO: 0.030440297155281754     	BEST SCORE: 3    	BEST RATIO: 0.10714285714285714      TOO_OLD: 4       	WON: 0    	
GEN: 35    AVG FITNESS: 7326.500000000013        	AVG SCORE: 0.202     	AVG RATIO: 0.03184612959167586      	BEST SCORE: 4    	BEST RATIO: 0.14285714285714285      TOO_OLD: 12      	WON: 0    	
GEN: 36    AVG FITNESS: 7243.000000000011        	AVG SCORE: 0.194     	AVG RATIO: 0.03178764542028511      	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857       TOO_OLD: 9       	WON: 0    	
GEN: 37    AVG FITNESS: 7246.83333333335         	AVG SCORE: 0.195     	AVG RATIO: 0.030947468655768928     	BEST SCORE: 3    	BEST RATIO: 0.13636363636363635      TOO_OLD: 13      	WON: 0    	
GEN: 38    AVG FITNESS: 7705.8333333333485       	AVG SCORE: 0.235     	AVG RATIO: 0.039238604107530474     	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 7       	WON: 0    	
