GEN: 1     AVG FITNESS: 5384.166666666669        	AVG SCORE: 0.033     	AVG RATIO: 0.009287925696594429     	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 1       	WON: 0    	
GEN: 2     AVG FITNESS: 5591.66666666667         	AVG SCORE: 0.051     	AVG RATIO: 0.017270572299356586     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 5476.666666666668        	AVG SCORE: 0.041     	AVG RATIO: 0.013482407102926669     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 5465.833333333335        	AVG SCORE: 0.04      	AVG RATIO: 0.013205678441729944     	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 5452.500000000003        	AVG SCORE: 0.039     	AVG RATIO: 0.01278688524590164      	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 5648.833333333334        	AVG SCORE: 0.056     	AVG RATIO: 0.017885659533695305     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 5735.333333333337        	AVG SCORE: 0.064     	AVG RATIO: 0.020157480314960632     	BEST SCORE: 3    	BEST RATIO: 0.6                      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 5721.66666666667         	AVG SCORE: 0.062     	AVG RATIO: 0.019846350832266324     	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 5812.500000000002        	AVG SCORE: 0.07      	AVG RATIO: 0.021446078431372553     	BEST SCORE: 2    	BEST RATIO: 0.11764705882352941      TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 5686.666666666668        	AVG SCORE: 0.059     	AVG RATIO: 0.01705202312138728      	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 5661.333333333335        	AVG SCORE: 0.057     	AVG RATIO: 0.016809200825715128     	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 5697.500000000004        	AVG SCORE: 0.06      	AVG RATIO: 0.0184218606079214       	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 5836.666666666669        	AVG SCORE: 0.072     	AVG RATIO: 0.020050125313283207     	BEST SCORE: 2    	BEST RATIO: 0.08                     TOO_OLD: 1       	WON: 0    	
GEN: 14    AVG FITNESS: 5706.333333333337        	AVG SCORE: 0.061     	AVG RATIO: 0.01726577979054628      	BEST SCORE: 3    	BEST RATIO: 0.13043478260869565      TOO_OLD: 0       	WON: 0    	
GEN: 15    AVG FITNESS: 6031.333333333338        	AVG SCORE: 0.089     	AVG RATIO: 0.025028121484814397     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 16    AVG FITNESS: 5855.000000000005        	AVG SCORE: 0.074     	AVG RATIO: 0.020898051397910195     	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      TOO_OLD: 1       	WON: 0    	
GEN: 17    AVG FITNESS: 6309.166666666674        	AVG SCORE: 0.113     	AVG RATIO: 0.029411764705882353     	BEST SCORE: 2    	BEST RATIO: 0.14285714285714285      TOO_OLD: 1       	WON: 0    	
GEN: 18    AVG FITNESS: 6246.3333333333385       	AVG SCORE: 0.108     	AVG RATIO: 0.028465998945703744     	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      TOO_OLD: 0       	WON: 0    	
GEN: 19    AVG FITNESS: 5950.000000000004        	AVG SCORE: 0.082     	AVG RATIO: 0.02231292517006803      	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 20    AVG FITNESS: 6148.0000000000055       	AVG SCORE: 0.099     	AVG RATIO: 0.027317880794701987     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 21    AVG FITNESS: 6319.333333333337        	AVG SCORE: 0.114     	AVG RATIO: 0.02857859112559539      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
