GEN: 1     AVG FITNESS: 0.13572050808232572      	AVG SCORE: 0.043     	AVG RATIO: 0.014205483977535512     	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 2       	WON: 0    	
GEN: 2     AVG FITNESS: 0.8135466169054663       	AVG SCORE: 0.063     	AVG RATIO: 0.006605850896508335     	BEST SCORE: 2    	BEST RATIO: 0.13333333333333333      TOO_OLD: 59      	WON: 0    	
GEN: 3     AVG FITNESS: 7.37413509489806         	AVG SCORE: 0.075     	AVG RATIO: 0.015066291683406991     	BEST SCORE: 4    	BEST RATIO: 0.12903225806451613      TOO_OLD: 12      	WON: 0    	
GEN: 4     AVG FITNESS: 32.28473933562537        	AVG SCORE: 0.109     	AVG RATIO: 0.018010575016523464     	BEST SCORE: 1    	BEST RATIO: 0.008403361344537815     TOO_OLD: 16      	WON: 0    	
GEN: 5     AVG FITNESS: 30.177327462387403       	AVG SCORE: 0.103     	AVG RATIO: 0.016863130320890634     	BEST SCORE: 1    	BEST RATIO: 0.009708737864077669     TOO_OLD: 17      	WON: 0    	
GEN: 6     AVG FITNESS: 16.269437373878432       	AVG SCORE: 0.07      	AVG RATIO: 0.005935724582379379     	BEST SCORE: 1    	BEST RATIO: 0.009345794392523364     TOO_OLD: 83      	WON: 0    	
GEN: 7     AVG FITNESS: 68.30084280993553        	AVG SCORE: 0.08      	AVG RATIO: 0.0036200733064844564    	BEST SCORE: 1    	BEST RATIO: 0.009009009009009009     TOO_OLD: 197     	WON: 0    	
GEN: 8     AVG FITNESS: 52.249086918902755       	AVG SCORE: 0.066     	AVG RATIO: 0.002906336694702541     	BEST SCORE: 1    	BEST RATIO: 0.009174311926605505     TOO_OLD: 203     	WON: 0    	
GEN: 9     AVG FITNESS: 89.08802938609799        	AVG SCORE: 0.091     	AVG RATIO: 0.004322424357573742     	BEST SCORE: 1    	BEST RATIO: 0.009345794392523364     TOO_OLD: 188     	WON: 0    	
GEN: 10    AVG FITNESS: 44.52868728316458        	AVG SCORE: 0.087     	AVG RATIO: 0.003967711041182104     	BEST SCORE: 1    	BEST RATIO: 0.009174311926605505     TOO_OLD: 195     	WON: 0    	
GEN: 11    AVG FITNESS: 84.50136357281961        	AVG SCORE: 0.097     	AVG RATIO: 0.004864105907130679     	BEST SCORE: 1    	BEST RATIO: 0.009174311926605505     TOO_OLD: 174     	WON: 0    	
GEN: 12    AVG FITNESS: 83.12198686030877        	AVG SCORE: 0.11      	AVG RATIO: 0.006330935251798561     	BEST SCORE: 1    	BEST RATIO: 0.00909090909090909      TOO_OLD: 142     	WON: 0    	
GEN: 13    AVG FITNESS: 51.66858584778299        	AVG SCORE: 0.084     	AVG RATIO: 0.005219336398657885     	BEST SCORE: 1    	BEST RATIO: 0.009174311926605505     TOO_OLD: 131     	WON: 0    	
GEN: 14    AVG FITNESS: 104.96694951267189       	AVG SCORE: 0.104     	AVG RATIO: 0.00602095756382794      	BEST SCORE: 1    	BEST RATIO: 0.008928571428571428     TOO_OLD: 139     	WON: 0    	
GEN: 15    AVG FITNESS: 133.79113639072392       	AVG SCORE: 0.09      	AVG RATIO: 0.005363208390441571     	BEST SCORE: 1    	BEST RATIO: 0.008695652173913044     TOO_OLD: 136     	WON: 0    	
