GEN: 1     AVG FITNESS: 0.3217791276506138       	AVG SCORE: 0.047     	AVG RATIO: 0.013938315539739028     	BEST SCORE: 1    	BEST RATIO: 0.04                     TOO_OLD: 2       	WON: 0    	
GEN: 2     AVG FITNESS: 3.4113406322268696       	AVG SCORE: 0.077     	AVG RATIO: 0.020413573700954403     	BEST SCORE: 3    	BEST RATIO: 0.1                      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 3.6715692443673733       	AVG SCORE: 0.109     	AVG RATIO: 0.02385120350109409      	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 4.637233644404141        	AVG SCORE: 0.113     	AVG RATIO: 0.0225684042340723       	BEST SCORE: 1    	BEST RATIO: 0.023809523809523808     TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 19.754734149250435       	AVG SCORE: 0.163     	AVG RATIO: 0.030068253089835822     	BEST SCORE: 3    	BEST RATIO: 0.06666666666666667      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 47.25700759265062        	AVG SCORE: 0.174     	AVG RATIO: 0.026391627483694825     	BEST SCORE: 2    	BEST RATIO: 0.03125                  TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 106.51627765073407       	AVG SCORE: 0.215     	AVG RATIO: 0.030626780626780627     	BEST SCORE: 4    	BEST RATIO: 0.09090909090909091      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 68.42001586836265        	AVG SCORE: 0.171     	AVG RATIO: 0.025760771316661647     	BEST SCORE: 3    	BEST RATIO: 0.0625                   TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 65.80816602514872        	AVG SCORE: 0.187     	AVG RATIO: 0.025672707303679296     	BEST SCORE: 3    	BEST RATIO: 0.04918032786885246      TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 74.38220057268741        	AVG SCORE: 0.174     	AVG RATIO: 0.023526230394808004     	BEST SCORE: 4    	BEST RATIO: 0.07407407407407407      TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 153.5876070549223        	AVG SCORE: 0.201     	AVG RATIO: 0.022861692447679712     	BEST SCORE: 3    	BEST RATIO: 0.038461538461538464     TOO_OLD: 0       	WON: 0    	
GEN: 12    AVG FITNESS: 387.5206434288656        	AVG SCORE: 0.217     	AVG RATIO: 0.021542738012508687     	BEST SCORE: 4    	BEST RATIO: 0.044444444444444446     TOO_OLD: 2       	WON: 0    	
GEN: 13    AVG FITNESS: 563.1053429677761        	AVG SCORE: 0.217     	AVG RATIO: 0.022573598252366586     	BEST SCORE: 5    	BEST RATIO: 0.05263157894736842      TOO_OLD: 1       	WON: 0    	
GEN: 14    AVG FITNESS: 923.0254808731349        	AVG SCORE: 0.276     	AVG RATIO: 0.01760316346705785      	BEST SCORE: 4    	BEST RATIO: 0.04081632653061224      TOO_OLD: 0       	WON: 0    	
GEN: 15    AVG FITNESS: 1034.3771929074924       	AVG SCORE: 0.337     	AVG RATIO: 0.018982707148087648     	BEST SCORE: 3    	BEST RATIO: 0.03529411764705882      TOO_OLD: 1       	WON: 0    	
GEN: 16    AVG FITNESS: 1308.1686442724026       	AVG SCORE: 0.375     	AVG RATIO: 0.01899696048632219      	BEST SCORE: 3    	BEST RATIO: 0.03333333333333333      TOO_OLD: 4       	WON: 0    	
GEN: 17    AVG FITNESS: 1641.7782030283447       	AVG SCORE: 0.365     	AVG RATIO: 0.018978785357737105     	BEST SCORE: 4    	BEST RATIO: 0.0392156862745098       TOO_OLD: 11      	WON: 0    	
GEN: 18    AVG FITNESS: 3214.4450921814014       	AVG SCORE: 0.356     	AVG RATIO: 0.01571605156277591      	BEST SCORE: 4    	BEST RATIO: 0.034482758620689655     TOO_OLD: 36      	WON: 0    	
GEN: 19    AVG FITNESS: 2747.954760205984        	AVG SCORE: 0.364     	AVG RATIO: 0.015314064537843411     	BEST SCORE: 3    	BEST RATIO: 0.018518518518518517     TOO_OLD: 69      	WON: 0    	
GEN: 20    AVG FITNESS: 20681.81094213993        	AVG SCORE: 0.379     	AVG RATIO: 0.014310527110708352     	BEST SCORE: 5    	BEST RATIO: 0.01824817518248175      TOO_OLD: 109     	WON: 0    	
GEN: 21    AVG FITNESS: 36990.383241264724       	AVG SCORE: 0.458     	AVG RATIO: 0.015170083799807891     	BEST SCORE: 5    	BEST RATIO: 0.015384615384615385     TOO_OLD: 130     	WON: 0    	
GEN: 22    AVG FITNESS: 171739.58502226687       	AVG SCORE: 0.616     	AVG RATIO: 0.01934551849758181      	BEST SCORE: 7    	BEST RATIO: 0.017412935323383085     TOO_OLD: 118     	WON: 0    	
GEN: 23    AVG FITNESS: 291146.0788951419        	AVG SCORE: 0.78      	AVG RATIO: 0.020328381548084442     	BEST SCORE: 12   	BEST RATIO: 0.033426183844011144     TOO_OLD: 111     	WON: 0    	
GEN: 24    AVG FITNESS: 271826.9609396678        	AVG SCORE: 1.161     	AVG RATIO: 0.030851403061224494     	BEST SCORE: 10   	BEST RATIO: 0.03367003367003367      TOO_OLD: 67      	WON: 0    	
GEN: 25    AVG FITNESS: 252127.5606603172        	AVG SCORE: 1.158     	AVG RATIO: 0.03345467152019414      	BEST SCORE: 9    	BEST RATIO: 0.030405405405405407     TOO_OLD: 43      	WON: 0    	
GEN: 26    AVG FITNESS: 648465.5752488317        	AVG SCORE: 1.32      	AVG RATIO: 0.03674219228413962      	BEST SCORE: 10   	BEST RATIO: 0.02631578947368421      TOO_OLD: 31      	WON: 0    	
GEN: 27    AVG FITNESS: 572509.9885682503        	AVG SCORE: 1.257     	AVG RATIO: 0.0313865514744438       	BEST SCORE: 11   	BEST RATIO: 0.03666666666666667      TOO_OLD: 66      	WON: 0    	
GEN: 28    AVG FITNESS: 1059039.8458066091       	AVG SCORE: 1.324     	AVG RATIO: 0.031101714822645055     	BEST SCORE: 13   	BEST RATIO: 0.04693140794223827      TOO_OLD: 79      	WON: 0    	
GEN: 29    AVG FITNESS: 1083641.2470218104       	AVG SCORE: 1.281     	AVG RATIO: 0.030915146249637995     	BEST SCORE: 13   	BEST RATIO: 0.030373831775700934     TOO_OLD: 87      	WON: 0    	
GEN: 30    AVG FITNESS: 918250.3453332629        	AVG SCORE: 1.179     	AVG RATIO: 0.027336594866563105     	BEST SCORE: 12   	BEST RATIO: 0.026726057906458798     TOO_OLD: 94      	WON: 0    	
GEN: 31    AVG FITNESS: 1885986.3798634345       	AVG SCORE: 1.071     	AVG RATIO: 0.022034770085382162     	BEST SCORE: 15   	BEST RATIO: 0.030800821355236138     TOO_OLD: 158     	WON: 0    	
GEN: 32    AVG FITNESS: 5266862.607241799        	AVG SCORE: 1.113     	AVG RATIO: 0.02253446984268389      	BEST SCORE: 17   	BEST RATIO: 0.028380634390651086     TOO_OLD: 105     	WON: 0    	
GEN: 33    AVG FITNESS: 12784612.9917033         	AVG SCORE: 1.175     	AVG RATIO: 0.020924600206574776     	BEST SCORE: 19   	BEST RATIO: 0.02676056338028169      TOO_OLD: 130     	WON: 0    	
GEN: 34    AVG FITNESS: 10904413.117700273       	AVG SCORE: 1.215     	AVG RATIO: 0.019583507946229973     	BEST SCORE: 17   	BEST RATIO: 0.025718608169440244     TOO_OLD: 154     	WON: 0    	
GEN: 35    AVG FITNESS: 8782988.20266628         	AVG SCORE: 1.083     	AVG RATIO: 0.018027765755568134     	BEST SCORE: 16   	BEST RATIO: 0.0221606648199446       TOO_OLD: 179     	WON: 0    	
GEN: 36    AVG FITNESS: 18705025.369109888       	AVG SCORE: 1.079     	AVG RATIO: 0.018972429314952875     	BEST SCORE: 16   	BEST RATIO: 0.021164021164021163     TOO_OLD: 134     	WON: 0    	
GEN: 37    AVG FITNESS: 7469150.834987385        	AVG SCORE: 1.126     	AVG RATIO: 0.019579884537803433     	BEST SCORE: 17   	BEST RATIO: 0.027960526315789474     TOO_OLD: 140     	WON: 0    	
