GEN: 1     AVG FITNESS: 3.7253800000000097       	AVG SCORE: 0.03      	AVG RATIO: 0.009030704394942805     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 2     AVG FITNESS: 5.841290000000003        	AVG SCORE: 0.051     	AVG RATIO: 0.015572519083969465     	BEST SCORE: 2    	BEST RATIO: 0.11764705882352941      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 8.05626000000001         	AVG SCORE: 0.07      	AVG RATIO: 0.019818799546998868     	BEST SCORE: 2    	BEST RATIO: 0.13333333333333333      TOO_OLD: 1       	WON: 0    	
GEN: 4     AVG FITNESS: 12.522550000000015       	AVG SCORE: 0.11      	AVG RATIO: 0.027315619567916564     	BEST SCORE: 2    	BEST RATIO: 0.08333333333333333      TOO_OLD: 1       	WON: 0    	
GEN: 5     AVG FITNESS: 13.103210000000011       	AVG SCORE: 0.11      	AVG RATIO: 0.024191774796569167     	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 7       	WON: 0    	
GEN: 6     AVG FITNESS: 12.187790000000021       	AVG SCORE: 0.097     	AVG RATIO: 0.01938061938061938      	BEST SCORE: 4    	BEST RATIO: 0.027777777777777776     TOO_OLD: 11      	WON: 0    	
GEN: 7     AVG FITNESS: 15.063020000000023       	AVG SCORE: 0.113     	AVG RATIO: 0.01824935400516796      	BEST SCORE: 3    	BEST RATIO: 0.08823529411764706      TOO_OLD: 23      	WON: 0    	
GEN: 8     AVG FITNESS: 16.76082000000001        	AVG SCORE: 0.119     	AVG RATIO: 0.015870898906375032     	BEST SCORE: 2    	BEST RATIO: 0.047619047619047616     TOO_OLD: 33      	WON: 0    	
GEN: 9     AVG FITNESS: 20.720870000000012       	AVG SCORE: 0.134     	AVG RATIO: 0.013542193026781203     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 55      	WON: 0    	
GEN: 10    AVG FITNESS: 25.226420000000022       	AVG SCORE: 0.164     	AVG RATIO: 0.014338171008917643     	BEST SCORE: 3    	BEST RATIO: 0.15                     TOO_OLD: 66      	WON: 0    	
GEN: 11    AVG FITNESS: 32.12557000000003        	AVG SCORE: 0.199     	AVG RATIO: 0.013345852055529475     	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       TOO_OLD: 95      	WON: 0    	
GEN: 12    AVG FITNESS: 35.247859999999974       	AVG SCORE: 0.209     	AVG RATIO: 0.01251047527834311      	BEST SCORE: 5    	BEST RATIO: 0.029940119760479042     TOO_OLD: 112     	WON: 0    	
GEN: 13    AVG FITNESS: 34.79671                 	AVG SCORE: 0.199     	AVG RATIO: 0.011313889362669851     	BEST SCORE: 3    	BEST RATIO: 0.10714285714285714      TOO_OLD: 121     	WON: 0    	
GEN: 14    AVG FITNESS: 31.85334                 	AVG SCORE: 0.175     	AVG RATIO: 0.010043617998163452     	BEST SCORE: 3    	BEST RATIO: 0.05172413793103448      TOO_OLD: 115     	WON: 0    	
GEN: 15    AVG FITNESS: 37.96129000000005        	AVG SCORE: 0.201     	AVG RATIO: 0.009855356705074774     	BEST SCORE: 2    	BEST RATIO: 0.016666666666666666     TOO_OLD: 150     	WON: 0    	
GEN: 16    AVG FITNESS: 38.62291000000001        	AVG SCORE: 0.172     	AVG RATIO: 0.007302059010825726     	BEST SCORE: 3    	BEST RATIO: 0.022556390977443608     TOO_OLD: 189     	WON: 0    	
GEN: 17    AVG FITNESS: 41.27407000000001        	AVG SCORE: 0.18      	AVG RATIO: 0.007017817458770322     	BEST SCORE: 4    	BEST RATIO: 0.18181818181818182      TOO_OLD: 206     	WON: 0    	
GEN: 18    AVG FITNESS: 44.88399999999996        	AVG SCORE: 0.183     	AVG RATIO: 0.006349757113115892     	BEST SCORE: 4    	BEST RATIO: 0.09302325581395349      TOO_OLD: 239     	WON: 0    	
GEN: 19    AVG FITNESS: 53.22442000000006        	AVG SCORE: 0.208     	AVG RATIO: 0.0061244920793828385    	BEST SCORE: 5    	BEST RATIO: 0.10638297872340426      TOO_OLD: 293     	WON: 0    	
GEN: 20    AVG FITNESS: 55.11390999999994        	AVG SCORE: 0.204     	AVG RATIO: 0.005760921747479596     	BEST SCORE: 9    	BEST RATIO: 0.036                    TOO_OLD: 308     	WON: 0    	
GEN: 21    AVG FITNESS: 61.12382999999999        	AVG SCORE: 0.258     	AVG RATIO: 0.00705940296057132      	BEST SCORE: 6    	BEST RATIO: 0.1                      TOO_OLD: 314     	WON: 0    	
GEN: 22    AVG FITNESS: 73.83044000000001        	AVG SCORE: 0.366     	AVG RATIO: 0.009768857097101371     	BEST SCORE: 10   	BEST RATIO: 0.1388888888888889       TOO_OLD: 308     	WON: 0    	
GEN: 23    AVG FITNESS: 83.40878999999988        	AVG SCORE: 0.497     	AVG RATIO: 0.014870889560456001     	BEST SCORE: 15   	BEST RATIO: 0.08021390374331551      TOO_OLD: 245     	WON: 0    	
