GEN: 1     AVG FITNESS: 46.917957167115254       	AVG SCORE: 0.046     	AVG RATIO: 0.014580031695721078     	BEST FITNESS: 2020.1746538782363       	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      TOO_OLD: 0       	WON: 0    	
GEN: 2     AVG FITNESS: 81.46787454320452        	AVG SCORE: 0.08      	AVG RATIO: 0.023330417031204434     	BEST FITNESS: 2999.9535850399434       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 112.03927858329413       	AVG SCORE: 0.11      	AVG RATIO: 0.029633620689655173     	BEST FITNESS: 2999.9257137668897       	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 97.7730583423405         	AVG SCORE: 0.096     	AVG RATIO: 0.02633744855967078      	BEST FITNESS: 2020.18728895616         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 110.18289166541258       	AVG SCORE: 0.108     	AVG RATIO: 0.028264852132949488     	BEST FITNESS: 2020.1725472868977       	BEST SCORE: 2    	BEST RATIO: 0.14285714285714285      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 111.95603213924329       	AVG SCORE: 0.11      	AVG RATIO: 0.02766599597585513      	BEST FITNESS: 2999.837344218362        	BEST SCORE: 3    	BEST RATIO: 0.08571428571428572      TOO_OLD: 2       	WON: 0    	
GEN: 7     AVG FITNESS: 143.44486763684984       	AVG SCORE: 0.141     	AVG RATIO: 0.03645294725956567      	BEST FITNESS: 2999.9303601412403       	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 172.91218431301033       	AVG SCORE: 0.17      	AVG RATIO: 0.04018912529550827      	BEST FITNESS: 2999.9489409897087       	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 164.91383247994594       	AVG SCORE: 0.162     	AVG RATIO: 0.03691045796308954      	BEST FITNESS: 2999.8326885300758       	BEST SCORE: 3    	BEST RATIO: 0.08333333333333333      TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 148.77254964409664       	AVG SCORE: 0.146     	AVG RATIO: 0.03372603372603373      	BEST FITNESS: 2020.195708086563        	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 1       	WON: 0    	
GEN: 11    AVG FITNESS: 186.26047597662117       	AVG SCORE: 0.183     	AVG RATIO: 0.03810912119950021      	BEST FITNESS: 2999.9767983232928       	BEST SCORE: 3    	BEST RATIO: 0.6                      TOO_OLD: 5       	WON: 0    	
GEN: 12    AVG FITNESS: 118.18107495008474       	AVG SCORE: 0.116     	AVG RATIO: 0.028141678796700632     	BEST FITNESS: 2020.1936036229333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 13    AVG FITNESS: 137.42499717288777       	AVG SCORE: 0.135     	AVG RATIO: 0.03186968838526912      	BEST FITNESS: 2999.921066927507        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 1       	WON: 0    	
GEN: 14    AVG FITNESS: 164.0373400825349        	AVG SCORE: 0.161     	AVG RATIO: 0.03670770633834929      	BEST FITNESS: 2020.1914989466782       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 15    AVG FITNESS: 160.93488199808263       	AVG SCORE: 0.158     	AVG RATIO: 0.035811423390752495     	BEST FITNESS: 2020.1914989466782       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 1       	WON: 0    	
GEN: 16    AVG FITNESS: 155.54654348718972       	AVG SCORE: 0.153     	AVG RATIO: 0.033797216699801194     	BEST FITNESS: 2999.9442964747923       	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 17    AVG FITNESS: 137.48690148391867       	AVG SCORE: 0.135     	AVG RATIO: 0.031020220588235295     	BEST FITNESS: 2999.9164196230217       	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 1       	WON: 0    	
GEN: 18    AVG FITNESS: 163.0588451198562        	AVG SCORE: 0.16      	AVG RATIO: 0.034926871862038855     	BEST FITNESS: 2999.935006050627        	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 4       	WON: 0    	
GEN: 19    AVG FITNESS: 147.6083676353469        	AVG SCORE: 0.145     	AVG RATIO: 0.031035958904109588     	BEST FITNESS: 2999.9303601412403       	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 8       	WON: 0    	
GEN: 20    AVG FITNESS: 194.24114766201018       	AVG SCORE: 0.191     	AVG RATIO: 0.043056807935076644     	BEST FITNESS: 3960.266578406495        	BEST SCORE: 4    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
