GEN: 1     AVG FITNESS: 36.096218638612875       	AVG SCORE: 0.048     	AVG RATIO: 0.01555411535968892      	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 2     AVG FITNESS: 18.79838494055909        	AVG SCORE: 0.029     	AVG RATIO: 0.013376383763837638     	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 18.767177632354816       	AVG SCORE: 0.028     	AVG RATIO: 0.01059001512859304      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 24.591086284968682       	AVG SCORE: 0.039     	AVG RATIO: 0.01302170283806344      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 24.120852281510448       	AVG SCORE: 0.04      	AVG RATIO: 0.012618296529968456     	BEST SCORE: 1    	BEST RATIO: 0.0625                   TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 32.11601916469675        	AVG SCORE: 0.049     	AVG RATIO: 0.015021459227467811     	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 30.58546334542077        	AVG SCORE: 0.05      	AVG RATIO: 0.014220705346985212     	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 8     AVG FITNESS: 31.108522237599104       	AVG SCORE: 0.044     	AVG RATIO: 0.012154696132596683     	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      TOO_OLD: 0       	WON: 0    	
GEN: 9     AVG FITNESS: 47.6891125109304         	AVG SCORE: 0.065     	AVG RATIO: 0.01657317695053544      	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 10    AVG FITNESS: 40.528406616468615       	AVG SCORE: 0.069     	AVG RATIO: 0.0171343431835113       	BEST SCORE: 2    	BEST RATIO: 0.15384615384615385      TOO_OLD: 0       	WON: 0    	
GEN: 11    AVG FITNESS: 70.2883770737782         	AVG SCORE: 0.105     	AVG RATIO: 0.024121295658166782     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 74.51378566908076        	AVG SCORE: 0.118     	AVG RATIO: 0.02621057307863172      	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 3       	WON: 0    	
GEN: 13    AVG FITNESS: 81.04399249663058        	AVG SCORE: 0.126     	AVG RATIO: 0.026888604353393086     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 5       	WON: 0    	
GEN: 14    AVG FITNESS: 127.70986010478246       	AVG SCORE: 0.183     	AVG RATIO: 0.03204903677758319      	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 10      	WON: 0    	
GEN: 15    AVG FITNESS: 141.74102416239214       	AVG SCORE: 0.196     	AVG RATIO: 0.029071492138831208     	BEST SCORE: 3    	BEST RATIO: 0.06818181818181818      TOO_OLD: 21      	WON: 0    	
GEN: 16    AVG FITNESS: 132.22179461884957       	AVG SCORE: 0.177     	AVG RATIO: 0.02105638829407566      	BEST SCORE: 4    	BEST RATIO: 0.12903225806451613      TOO_OLD: 37      	WON: 0    	
GEN: 17    AVG FITNESS: 151.16040728587458       	AVG SCORE: 0.208     	AVG RATIO: 0.024090803798934444     	BEST SCORE: 4    	BEST RATIO: 0.18181818181818182      TOO_OLD: 37      	WON: 0    	
GEN: 18    AVG FITNESS: 220.1584304600451        	AVG SCORE: 0.248     	AVG RATIO: 0.030020578622442805     	BEST SCORE: 6    	BEST RATIO: 0.09090909090909091      TOO_OLD: 33      	WON: 0    	
GEN: 19    AVG FITNESS: 236.5906819700356        	AVG SCORE: 0.251     	AVG RATIO: 0.02185649599442703      	BEST SCORE: 8    	BEST RATIO: 0.12903225806451613      TOO_OLD: 62      	WON: 0    	
GEN: 20    AVG FITNESS: 229.68537952117546       	AVG SCORE: 0.26      	AVG RATIO: 0.02377903786354491      	BEST SCORE: 6    	BEST RATIO: 0.10714285714285714      TOO_OLD: 56      	WON: 0    	
GEN: 21    AVG FITNESS: 270.9005164392889        	AVG SCORE: 0.271     	AVG RATIO: 0.022936944561997463     	BEST SCORE: 6    	BEST RATIO: 0.125                    TOO_OLD: 59      	WON: 0    	
GEN: 22    AVG FITNESS: 346.5401002082567        	AVG SCORE: 0.318     	AVG RATIO: 0.02321167883211679      	BEST SCORE: 9    	BEST RATIO: 0.10227272727272728      TOO_OLD: 73      	WON: 0    	
GEN: 23    AVG FITNESS: 677.9473687682464        	AVG SCORE: 0.463     	AVG RATIO: 0.028139054333292817     	BEST SCORE: 11   	BEST RATIO: 0.10679611650485436      TOO_OLD: 82      	WON: 0    	
GEN: 24    AVG FITNESS: 930.8720013600491        	AVG SCORE: 0.537     	AVG RATIO: 0.03974833456698742      	BEST SCORE: 11   	BEST RATIO: 0.125                    TOO_OLD: 39      	WON: 0    	
GEN: 25    AVG FITNESS: 1253.727342509012        	AVG SCORE: 0.642     	AVG RATIO: 0.039735099337748346     	BEST SCORE: 14   	BEST RATIO: 0.09655172413793103      TOO_OLD: 45      	WON: 0    	
GEN: 26    AVG FITNESS: 1161.6242477639714       	AVG SCORE: 0.659     	AVG RATIO: 0.03710376667980407      	BEST SCORE: 10   	BEST RATIO: 0.08064516129032258      TOO_OLD: 59      	WON: 0    	
GEN: 27    AVG FITNESS: 1271.2460101292615       	AVG SCORE: 0.648     	AVG RATIO: 0.040203499193448324     	BEST SCORE: 13   	BEST RATIO: 0.05241935483870968      TOO_OLD: 45      	WON: 0    	
GEN: 28    AVG FITNESS: 1454.1606096799892       	AVG SCORE: 0.705     	AVG RATIO: 0.03724247226624405      	BEST SCORE: 16   	BEST RATIO: 0.038834951456310676     TOO_OLD: 65      	WON: 0    	
