GEN: 0     AVG FITNESS: 24.44802235352939     	AVG SCORE: 0.03636363636363636   	AVG RATIO: 0.007388951066758553  	BEST FITNESS: 2148.6138920810495    	BEST SCORE: 2    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 1     AVG FITNESS: 24.45963796118335     	AVG SCORE: 0.038181818181818185  	AVG RATIO: 0.007436046276955369  	BEST FITNESS: 503.59387380182187    	BEST SCORE: 1    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 2     AVG FITNESS: 49.149034664441196    	AVG SCORE: 0.06727272727272728   	AVG RATIO: 0.010275863396852696  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 3     AVG FITNESS: 65.54791540183876     	AVG SCORE: 0.0890909090909091    	AVG RATIO: 0.012520668725214174  	BEST FITNESS: 5027.633040365744     	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	
GEN: 4     AVG FITNESS: 64.89583079644436     	AVG SCORE: 0.1                   	AVG RATIO: 0.01491092844615445   	BEST FITNESS: 2149.6550881716457    	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	
GEN: 5     AVG FITNESS: 60.29280395260259     	AVG SCORE: 0.09                  	AVG RATIO: 0.01171794307228386   	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 6     AVG FITNESS: 79.63381733310139     	AVG SCORE: 0.1190909090909091    	AVG RATIO: 0.014652858657117317  	BEST FITNESS: 5006.763496021078     	BEST SCORE: 3    	BEST RATIO: 0.09375               WON: 0    	WON AVG RATIO: 0                     	
GEN: 7     AVG FITNESS: 102.63815659801469    	AVG SCORE: 0.14363636363636365   	AVG RATIO: 0.019253616519194296  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 8     AVG FITNESS: 66.61656232938695     	AVG SCORE: 0.10909090909090909   	AVG RATIO: 0.016626962941363416  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 9     AVG FITNESS: 79.50857772844734     	AVG SCORE: 0.12272727272727273   	AVG RATIO: 0.01704555315451037   	BEST FITNESS: 5029.81866597788      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855   WON: 0    	WON AVG RATIO: 0                     	
GEN: 10    AVG FITNESS: 84.04648154863085     	AVG SCORE: 0.13                  	AVG RATIO: 0.01790795436283687   	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
