GEN: 1     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 2     BEST FITNESS: 2148.966348148078        	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       WON: 0    	WON AVG RATIO: 0                        	
GEN: 3     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 4     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 5     BEST FITNESS: 2149.964098556101        	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 6     BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      WON: 0    	WON AVG RATIO: 0                        	
GEN: 7     BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 8     BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 9     BEST FITNESS: 9120.109479625953        	BEST SCORE: 4    	BEST RATIO: 0.08333333333333333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 10    BEST FITNESS: 5002.87038813432         	BEST SCORE: 3    	BEST RATIO: 0.08571428571428572      WON: 0    	WON AVG RATIO: 0                        	
GEN: 11    BEST FITNESS: 9142.685946958687        	BEST SCORE: 4    	BEST RATIO: 0.10256410256410256      WON: 0    	WON AVG RATIO: 0                        	
GEN: 12    BEST FITNESS: 29499.26395806271        	BEST SCORE: 7    	BEST RATIO: 0.09333333333333334      WON: 0    	WON AVG RATIO: 0                        	
GEN: 13    BEST FITNESS: 49548.052331618055       	BEST SCORE: 9    	BEST RATIO: 0.059602649006622516     WON: 0    	WON AVG RATIO: 0                        	
GEN: 14    BEST FITNESS: 9186.292042124109        	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222       WON: 0    	WON AVG RATIO: 0                        	
GEN: 15    BEST FITNESS: 14676.174537982479       	BEST SCORE: 5    	BEST RATIO: 0.23809523809523808      WON: 0    	WON AVG RATIO: 0                        	
GEN: 16    BEST FITNESS: 21450.964662603837       	BEST SCORE: 6    	BEST RATIO: 0.13953488372093023      WON: 0    	WON AVG RATIO: 0                        	
GEN: 17    BEST FITNESS: 62784.50329818767        	BEST SCORE: 10   	BEST RATIO: 0.08403361344537816      WON: 0    	WON AVG RATIO: 0                        	
GEN: 18    BEST FITNESS: 62428.32756761352        	BEST SCORE: 10   	BEST RATIO: 0.06896551724137931      WON: 0    	WON AVG RATIO: 0                        	
GEN: 19    BEST FITNESS: 21422.13407956479        	BEST SCORE: 6    	BEST RATIO: 0.12244897959183673      WON: 0    	WON AVG RATIO: 0                        	
GEN: 20    BEST FITNESS: 29426.80258269126        	BEST SCORE: 7    	BEST RATIO: 0.08235294117647059      WON: 0    	WON AVG RATIO: 0                        	
GEN: 21    BEST FITNESS: 50222.57516385004        	BEST SCORE: 9    	BEST RATIO: 0.0967741935483871       WON: 0    	WON AVG RATIO: 0                        	
GEN: 22    BEST FITNESS: 63017.02984450263        	BEST SCORE: 10   	BEST RATIO: 0.09900990099009901      WON: 0    	WON AVG RATIO: 0                        	
GEN: 23    BEST FITNESS: 114240.33926689465       	BEST SCORE: 13   	BEST RATIO: 0.06735751295336788      WON: 0    	WON AVG RATIO: 0                        	
GEN: 24    BEST FITNESS: 63200.86910860446        	BEST SCORE: 10   	BEST RATIO: 0.11627906976744186      WON: 0    	WON AVG RATIO: 0                        	
GEN: 25    BEST FITNESS: 115193.44256534497       	BEST SCORE: 13   	BEST RATIO: 0.08843537414965986      WON: 0    	WON AVG RATIO: 0                        	
GEN: 26    BEST FITNESS: 177347.47047076383       	BEST SCORE: 15   	BEST RATIO: 0.0949367088607595       WON: 0    	WON AVG RATIO: 0                        	
GEN: 27    BEST FITNESS: 141179.88979533798       	BEST SCORE: 14   	BEST RATIO: 0.08536585365853659      WON: 0    	WON AVG RATIO: 0                        	
GEN: 28    BEST FITNESS: 230575.63748784416       	BEST SCORE: 16   	BEST RATIO: 0.08695652173913043      WON: 0    	WON AVG RATIO: 0                        	
GEN: 29    BEST FITNESS: 141468.6907617238        	BEST SCORE: 14   	BEST RATIO: 0.09271523178807947      WON: 0    	WON AVG RATIO: 0                        	
GEN: 30    BEST FITNESS: 230603.1673747761        	BEST SCORE: 16   	BEST RATIO: 0.08743169398907104      WON: 0    	WON AVG RATIO: 0                        	
GEN: 31    BEST FITNESS: 761005.7371777471        	BEST SCORE: 19   	BEST RATIO: 0.09178743961352658      WON: 0    	WON AVG RATIO: 0                        	
GEN: 32    BEST FITNESS: 4515115.556198755        	BEST SCORE: 22   	BEST RATIO: 0.0859375                WON: 0    	WON AVG RATIO: 0                        	
GEN: 33    BEST FITNESS: 2386737.0292979614       	BEST SCORE: 21   	BEST RATIO: 0.075                    WON: 0    	WON AVG RATIO: 0                        	
GEN: 34    BEST FITNESS: 4511729.054311002        	BEST SCORE: 22   	BEST RATIO: 0.06707317073170732      WON: 0    	WON AVG RATIO: 0                        	
GEN: 35    BEST FITNESS: 1312218.2728661539       	BEST SCORE: 20   	BEST RATIO: 0.09345794392523364      WON: 0    	WON AVG RATIO: 0                        	
GEN: 36    BEST FITNESS: 134709297.60551566       	BEST SCORE: 27   	BEST RATIO: 0.084375                 WON: 0    	WON AVG RATIO: 0                        	
GEN: 37    BEST FITNESS: 33969142.33508521        	BEST SCORE: 25   	BEST RATIO: 0.0684931506849315       WON: 0    	WON AVG RATIO: 0                        	
GEN: 38    BEST FITNESS: 67564261.3014177         	BEST SCORE: 26   	BEST RATIO: 0.0896551724137931       WON: 0    	WON AVG RATIO: 0                        	
GEN: 39    BEST FITNESS: 134702601.7902481        	BEST SCORE: 27   	BEST RATIO: 0.06382978723404255      WON: 0    	WON AVG RATIO: 0                        	
GEN: 40    BEST FITNESS: 134709235.41523945       	BEST SCORE: 27   	BEST RATIO: 0.08411214953271028      WON: 0    	WON AVG RATIO: 0                        	
GEN: 41    BEST FITNESS: 134702601.7902481        	BEST SCORE: 27   	BEST RATIO: 0.06382978723404255      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 537437232.6968049        	BEST SCORE: 29   	BEST RATIO: 0.07178217821782178      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 134709235.41523945       	BEST SCORE: 27   	BEST RATIO: 0.08411214953271028      WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 134704078.72555348       	BEST SCORE: 27   	BEST RATIO: 0.06733167082294264      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 8590675227.1025          	BEST SCORE: 33   	BEST RATIO: 0.07081545064377683      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 2148135071.2521653       	BEST SCORE: 31   	BEST RATIO: 0.07328605200945626      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 2148132725.7415795       	BEST SCORE: 31   	BEST RATIO: 0.06858407079646017      WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 4295662720.776639        	BEST SCORE: 32   	BEST RATIO: 0.07223476297968397      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 537435691.9527524        	BEST SCORE: 29   	BEST RATIO: 0.06823529411764706      WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 17180644552.811058       	BEST SCORE: 34   	BEST RATIO: 0.05555555555555555      WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 537438174.4330024        	BEST SCORE: 29   	BEST RATIO: 0.0741687979539642       WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 4295661704.055245        	BEST SCORE: 32   	BEST RATIO: 0.07032967032967033      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 537432083.8815858        	BEST SCORE: 29   	BEST RATIO: 0.0613107822410148       WON: 0    	WON AVG RATIO: 0                        	
GEN: 54    BEST FITNESS: 268963025.9730185        	BEST SCORE: 28   	BEST RATIO: 0.07506702412868632      WON: 0    	WON AVG RATIO: 0                        	
GEN: 55    BEST FITNESS: 17180666316.099648       	BEST SCORE: 34   	BEST RATIO: 0.08947368421052632      WON: 0    	WON AVG RATIO: 0                        	
GEN: 56    BEST FITNESS: 2148127388.837529        	BEST SCORE: 31   	BEST RATIO: 0.060077519379844964     WON: 0    	WON AVG RATIO: 0                        	
GEN: 57    BEST FITNESS: 4295655259.062437        	BEST SCORE: 32   	BEST RATIO: 0.06049149338374291      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 2148127473.8512993       	BEST SCORE: 31   	BEST RATIO: 0.06019417475728155      WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 8590658547.469448        	BEST SCORE: 33   	BEST RATIO: 0.05124223602484472      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 4295671707.577391        	BEST SCORE: 32   	BEST RATIO: 0.0963855421686747       WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 4295659559.808464        	BEST SCORE: 32   	BEST RATIO: 0.06666666666666667      WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 8590667278.219597        	BEST SCORE: 33   	BEST RATIO: 0.059674502712477394     WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 34360566552.55624        	BEST SCORE: 35   	BEST RATIO: 0.059931506849315065     WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 2199024392126.96         	BEST SCORE: 41   	BEST RATIO: 0.052096569250317665     WON: 0    	WON AVG RATIO: 0                        	
GEN: 65    BEST FITNESS: 8590671714.871382        	BEST SCORE: 33   	BEST RATIO: 0.06534653465346535      WON: 0    	WON AVG RATIO: 0                        	
GEN: 66    BEST FITNESS: 8590674065.899702        	BEST SCORE: 33   	BEST RATIO: 0.06889352818371608      WON: 0    	WON AVG RATIO: 0                        	
GEN: 67    BEST FITNESS: 1099512715681.2627       	BEST SCORE: 40   	BEST RATIO: 0.056657223796033995     WON: 0    	WON AVG RATIO: 0                        	
GEN: 68    BEST FITNESS: 2148120786.1008787       	BEST SCORE: 31   	BEST RATIO: 0.052364864864864864     WON: 0    	WON AVG RATIO: 0                        	
GEN: 69    BEST FITNESS: 34360561372.85857        	BEST SCORE: 35   	BEST RATIO: 0.055205047318611984     WON: 0    	WON AVG RATIO: 0                        	
GEN: 70    BEST FITNESS: 2199024402408.8687       	BEST SCORE: 41   	BEST RATIO: 0.057746478873239436     WON: 0    	WON AVG RATIO: 0                        	
GEN: 71    BEST FITNESS: 34360564702.74739        	BEST SCORE: 35   	BEST RATIO: 0.05813953488372093      WON: 0    	WON AVG RATIO: 0                        	
GEN: 72    BEST FITNESS: 2199024411977.5156       	BEST SCORE: 41   	BEST RATIO: 0.06446540880503145      WON: 0    	WON AVG RATIO: 0                        	
GEN: 73    BEST FITNESS: 549756850566.8716        	BEST SCORE: 39   	BEST RATIO: 0.0598159509202454       WON: 0    	WON AVG RATIO: 0                        	
GEN: 74    BEST FITNESS: 137439889140.97992       	BEST SCORE: 37   	BEST RATIO: 0.0659536541889483       WON: 0    	WON AVG RATIO: 0                        	
GEN: 75    BEST FITNESS: 549756855698.7385        	BEST SCORE: 39   	BEST RATIO: 0.06403940886699508      WON: 0    	WON AVG RATIO: 0                        	
GEN: 76    BEST FITNESS: 137439891397.95197       	BEST SCORE: 37   	BEST RATIO: 0.06851851851851852      WON: 0    	WON AVG RATIO: 0                        	
GEN: 77    BEST FITNESS: 549756847779.146         	BEST SCORE: 39   	BEST RATIO: 0.057777777777777775     WON: 0    	WON AVG RATIO: 0                        	
GEN: 78    BEST FITNESS: 137439878164.8651        	BEST SCORE: 37   	BEST RATIO: 0.05606060606060606      WON: 0    	WON AVG RATIO: 0                        	
GEN: 79    BEST FITNESS: 274878874701.0618        	BEST SCORE: 38   	BEST RATIO: 0.05019815059445178      WON: 0    	WON AVG RATIO: 0                        	
GEN: 80    BEST FITNESS: 274878896088.2716        	BEST SCORE: 38   	BEST RATIO: 0.06608695652173913      WON: 0    	WON AVG RATIO: 0                        	
GEN: 81    BEST FITNESS: 35184373467638.9         	BEST SCORE: 45   	BEST RATIO: 0.05238649592549476      WON: 0    	WON AVG RATIO: 0                        	
GEN: 82    BEST FITNESS: 8796094247070.533        	BEST SCORE: 43   	BEST RATIO: 0.04211557296767875      WON: 0    	WON AVG RATIO: 0                        	
GEN: 83    BEST FITNESS: 8796094279064.912        	BEST SCORE: 43   	BEST RATIO: 0.053217821782178217     WON: 0    	WON AVG RATIO: 0                        	
GEN: 84    BEST FITNESS: 2251799815482591.0       	BEST SCORE: 51   	BEST RATIO: 0.05579868708971553      WON: 0    	WON AVG RATIO: 0                        	
GEN: 85    BEST FITNESS: 17592187364154.574       	BEST SCORE: 44   	BEST RATIO: 0.05392156862745098      WON: 0    	WON AVG RATIO: 0                        	
