GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 2     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 3     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	
GEN: 4     BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 5     BEST FITNESS: 2149.476355007297        	BEST SCORE: 2    	BEST RATIO: 0.4                      WON: 0    	
GEN: 6     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 7     BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       WON: 0    	
GEN: 8     BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       WON: 0    	
GEN: 9     BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      WON: 0    	
GEN: 10    BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	
GEN: 11    BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	
GEN: 12    BEST FITNESS: 5029.352235031539        	BEST SCORE: 3    	BEST RATIO: 0.375                    WON: 0    	
GEN: 13    BEST FITNESS: 5028.255347850331        	BEST SCORE: 3    	BEST RATIO: 0.3                      WON: 0    	
GEN: 14    BEST FITNESS: 9184.57636729794         	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      WON: 0    	
GEN: 15    BEST FITNESS: 14670.697066815721       	BEST SCORE: 5    	BEST RATIO: 0.21739130434782608      WON: 0    	
GEN: 16    BEST FITNESS: 9191.162099733898        	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      WON: 0    	
GEN: 17    BEST FITNESS: 5028.255347850331        	BEST SCORE: 3    	BEST RATIO: 0.3                      WON: 0    	
GEN: 18    BEST FITNESS: 9186.292042124109        	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222       WON: 0    	
GEN: 19    BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      WON: 0    	
GEN: 20    BEST FITNESS: 5028.255347850331        	BEST SCORE: 3    	BEST RATIO: 0.3                      WON: 0    	
GEN: 21    BEST FITNESS: 9194.157014813387        	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       WON: 0    	
GEN: 22    BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       WON: 0    	
GEN: 23    BEST FITNESS: 9182.817455976632        	BEST SCORE: 4    	BEST RATIO: 0.2                      WON: 0    	
GEN: 24    BEST FITNESS: 9165.258404742544        	BEST SCORE: 4    	BEST RATIO: 0.13793103448275862      WON: 0    	
GEN: 25    BEST FITNESS: 9187.962811309775        	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      WON: 0    	
GEN: 26    BEST FITNESS: 5028.82964176195         	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       WON: 0    	
GEN: 27    BEST FITNESS: 9189.58683997628         	BEST SCORE: 4    	BEST RATIO: 0.25                     WON: 0    	
GEN: 28    BEST FITNESS: 9189.58683997628         	BEST SCORE: 4    	BEST RATIO: 0.25                     WON: 0    	
GEN: 29    BEST FITNESS: 9175.378187074351        	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      WON: 0    	
GEN: 30    BEST FITNESS: 14662.113470381037       	BEST SCORE: 5    	BEST RATIO: 0.19230769230769232      WON: 0    	
GEN: 31    BEST FITNESS: 14659.159824943901       	BEST SCORE: 5    	BEST RATIO: 0.18518518518518517      WON: 0    	
GEN: 32    BEST FITNESS: 21266.00528788093        	BEST SCORE: 6    	BEST RATIO: 0.07692307692307693      WON: 0    	
GEN: 33    BEST FITNESS: 14659.159824943901       	BEST SCORE: 5    	BEST RATIO: 0.18518518518518517      WON: 0    	
GEN: 34    BEST FITNESS: 21469.39861641756        	BEST SCORE: 6    	BEST RATIO: 0.15384615384615385      WON: 0    	
GEN: 35    BEST FITNESS: 9184.57636729794         	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      WON: 0    	
GEN: 36    BEST FITNESS: 14525.15387780646        	BEST SCORE: 5    	BEST RATIO: 0.078125                 WON: 0    	
GEN: 37    BEST FITNESS: 50114.08437125982        	BEST SCORE: 9    	BEST RATIO: 0.08737864077669903      WON: 0    	
GEN: 38    BEST FITNESS: 141960.46360883766       	BEST SCORE: 14   	BEST RATIO: 0.109375                 WON: 0    	
GEN: 39    BEST FITNESS: 176237.0038169733        	BEST SCORE: 15   	BEST RATIO: 0.07425742574257425      WON: 0    	
GEN: 40    BEST FITNESS: 176802.84107353992       	BEST SCORE: 15   	BEST RATIO: 0.08333333333333333      WON: 0    	
GEN: 41    BEST FITNESS: 140533.65856684247       	BEST SCORE: 14   	BEST RATIO: 0.07291666666666667      WON: 0    	
