GEN: 1     AVG FITNESS: 0.0455028735153735       	AVG SCORE: 0.053     	AVG RATIO: 0.015968665260620667     	BEST FITNESS: 2.5714285714285716       	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 2     AVG FITNESS: 0.05214513264513261      	AVG SCORE: 0.061     	AVG RATIO: 0.0193712289615751       	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 3     AVG FITNESS: 0.05664896924970452      	AVG SCORE: 0.066     	AVG RATIO: 0.0189328743545611       	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 4     AVG FITNESS: 0.06527653433168136      	AVG SCORE: 0.075     	AVG RATIO: 0.021917007597895964     	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 5     AVG FITNESS: 0.07643615545531175      	AVG SCORE: 0.088     	AVG RATIO: 0.02328042328042328      	BEST FITNESS: 2.5                      	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 6     AVG FITNESS: 0.08962718542207708      	AVG SCORE: 0.104     	AVG RATIO: 0.025672673413971857     	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 7     AVG FITNESS: 0.08228440913661496      	AVG SCORE: 0.097     	AVG RATIO: 0.025392670157068066     	BEST FITNESS: 2.1                      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 1       	WON: 0    	
GEN: 8     AVG FITNESS: 0.08762264084384824      	AVG SCORE: 0.102     	AVG RATIO: 0.025241276911655525     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 2       	WON: 0    	
GEN: 9     AVG FITNESS: 0.10536458195117926      	AVG SCORE: 0.123     	AVG RATIO: 0.030438010393466962     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 1       	WON: 0    	
GEN: 10    AVG FITNESS: 0.11757925722969839      	AVG SCORE: 0.135     	AVG RATIO: 0.03236633900743227      	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 1       	WON: 0    	
GEN: 11    AVG FITNESS: 0.11547921003724439      	AVG SCORE: 0.133     	AVG RATIO: 0.032470703125           	BEST FITNESS: 3.1578947368421053       	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 1       	WON: 0    	
GEN: 12    AVG FITNESS: 0.10742994625995447      	AVG SCORE: 0.123     	AVG RATIO: 0.030680967822399596     	BEST FITNESS: 3.4482758620689653       	BEST SCORE: 4    	BEST RATIO: 0.16                     TOO_OLD: 1       	WON: 0    	
GEN: 13    AVG FITNESS: 0.13580430990578052      	AVG SCORE: 0.157     	AVG RATIO: 0.03524130190796857      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 3       	WON: 0    	
GEN: 14    AVG FITNESS: 0.14947108612921306      	AVG SCORE: 0.17      	AVG RATIO: 0.038090970199417436     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 2       	WON: 0    	
GEN: 15    AVG FITNESS: 0.1499715985527686       	AVG SCORE: 0.174     	AVG RATIO: 0.03718743321222483      	BEST FITNESS: 2.1                      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 3       	WON: 0    	
GEN: 16    AVG FITNESS: 0.18279265910276138      	AVG SCORE: 0.21      	AVG RATIO: 0.04183266932270917      	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 4       	WON: 0    	
GEN: 17    AVG FITNESS: 0.2130746959419841       	AVG SCORE: 0.242     	AVG RATIO: 0.04202848211184439      	BEST FITNESS: 3.6363636363636362       	BEST SCORE: 4    	BEST RATIO: 0.1                      TOO_OLD: 8       	WON: 0    	
GEN: 18    AVG FITNESS: 0.1959519255538352       	AVG SCORE: 0.222     	AVG RATIO: 0.0367854183927092       	BEST FITNESS: 6.604838709677419        	BEST SCORE: 7    	BEST RATIO: 0.05982905982905983      TOO_OLD: 9       	WON: 0    	
GEN: 19    AVG FITNESS: 0.2135681721326938       	AVG SCORE: 0.24      	AVG RATIO: 0.031880977683315624     	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 20      	WON: 0    	
GEN: 20    AVG FITNESS: 0.19235914217756275      	AVG SCORE: 0.216     	AVG RATIO: 0.029379760609357996     	BEST FITNESS: 2.9379310344827587       	BEST SCORE: 3    	BEST RATIO: 0.02112676056338028      TOO_OLD: 22      	WON: 0    	
GEN: 21    AVG FITNESS: 0.22224638053097115      	AVG SCORE: 0.249     	AVG RATIO: 0.027635960044395117     	BEST FITNESS: 2.526315789473684        	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 33      	WON: 0    	
GEN: 22    AVG FITNESS: 0.2651394176229532       	AVG SCORE: 0.298     	AVG RATIO: 0.037574076409027865     	BEST FITNESS: 6.730769230769231        	BEST SCORE: 7    	BEST RATIO: 0.04                     TOO_OLD: 20      	WON: 0    	
GEN: 23    AVG FITNESS: 0.24251799297596907      	AVG SCORE: 0.273     	AVG RATIO: 0.02632594021215044      	BEST FITNESS: 10.665745856353592       	BEST SCORE: 11   	BEST RATIO: 0.03133903133903134      TOO_OLD: 44      	WON: 0    	
GEN: 24    AVG FITNESS: 0.30528892392306006      	AVG SCORE: 0.34      	AVG RATIO: 0.0316308493813378       	BEST FITNESS: 8.559782608695652        	BEST SCORE: 9    	BEST RATIO: 0.05142857142857143      TOO_OLD: 32      	WON: 0    	
GEN: 25    AVG FITNESS: 0.3461892855632107       	AVG SCORE: 0.383     	AVG RATIO: 0.026279676135583917     	BEST FITNESS: 9.613899613899614        	BEST SCORE: 10   	BEST RATIO: 0.040160642570281124     TOO_OLD: 58      	WON: 0    	
GEN: 26    AVG FITNESS: 0.4217300300675686       	AVG SCORE: 0.459     	AVG RATIO: 0.02781481032602109      	BEST FITNESS: 7.6923076923076925       	BEST SCORE: 8    	BEST RATIO: 0.04                     TOO_OLD: 61      	WON: 0    	
GEN: 27    AVG FITNESS: 0.44510379730842237      	AVG SCORE: 0.482     	AVG RATIO: 0.023084291187739463     	BEST FITNESS: 9.655172413793103        	BEST SCORE: 10   	BEST RATIO: 0.03571428571428571      TOO_OLD: 92      	WON: 0    	
GEN: 28    AVG FITNESS: 0.45277363315694014      	AVG SCORE: 0.49      	AVG RATIO: 0.02173238124805961      	BEST FITNESS: 9.45054945054945         	BEST SCORE: 10   	BEST RATIO: 0.05813953488372093      TOO_OLD: 109     	WON: 0    	
GEN: 29    AVG FITNESS: 0.4785485960127363       	AVG SCORE: 0.512     	AVG RATIO: 0.02097672894133071      	BEST FITNESS: 6.436781609195402        	BEST SCORE: 7    	BEST RATIO: 0.0875                   TOO_OLD: 114     	WON: 0    	
GEN: 30    AVG FITNESS: 0.5589224795807657       	AVG SCORE: 0.599     	AVG RATIO: 0.02161908542967481      	BEST FITNESS: 20.555223880597016       	BEST SCORE: 22   	BEST RATIO: 0.07028753993610223      TOO_OLD: 140     	WON: 0    	
