GEN: 0     AVG SCORE: 0.05545454545454546   	AVG RATIO: 0.012276689219871035  	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 1     AVG SCORE: 0.13272727272727272   	AVG RATIO: 0.02456300970271556   	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 2     AVG SCORE: 0.11181818181818182   	AVG RATIO: 0.019511137852046934  	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 3     AVG SCORE: 0.10363636363636364   	AVG RATIO: 0.017259278135474298  	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 4     AVG SCORE: 0.1                   	AVG RATIO: 0.014576372602442107  	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 5     AVG SCORE: 0.09                  	AVG RATIO: 0.013625123175024352  	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 6     AVG SCORE: 0.12                  	AVG RATIO: 0.01933729976749959   	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 7     AVG SCORE: 0.09363636363636364   	AVG RATIO: 0.016135063169154067  	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 8     AVG SCORE: 0.11454545454545455   	AVG RATIO: 0.01637582240991331   	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 9     AVG SCORE: 0.12636363636363637   	AVG RATIO: 0.022909145172774488  	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 10    AVG SCORE: 0.10545454545454545   	AVG RATIO: 0.014984983383146593  	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 11    AVG SCORE: 0.12636363636363637   	AVG RATIO: 0.01998068138588121   	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 12    AVG SCORE: 0.12181818181818181   	AVG RATIO: 0.01625575551430461   	BEST SCORE: 5    	BEST RATIO: 0.09615384615384616   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 13    AVG SCORE: 0.1481818181818182    	AVG RATIO: 0.01712680194105029   	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 14    AVG SCORE: 0.15272727272727274   	AVG RATIO: 0.021936446528984136  	BEST SCORE: 4    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 15    AVG SCORE: 0.13363636363636364   	AVG RATIO: 0.017743864252387272  	BEST SCORE: 4    	BEST RATIO: 0.0449438202247191    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 16    AVG SCORE: 0.16363636363636364   	AVG RATIO: 0.02308269883491866   	BEST SCORE: 6    	BEST RATIO: 0.06451612903225806   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 17    AVG SCORE: 0.15272727272727274   	AVG RATIO: 0.018783652475274824  	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 18    AVG SCORE: 0.14909090909090908   	AVG RATIO: 0.01766965452271288   	BEST SCORE: 4    	BEST RATIO: 0.125                 WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 19    AVG SCORE: 0.16545454545454547   	AVG RATIO: 0.019442162652496733  	BEST SCORE: 5    	BEST RATIO: 0.053763440860215055  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 20    AVG SCORE: 0.21181818181818182   	AVG RATIO: 0.02049266494706112   	BEST SCORE: 10   	BEST RATIO: 0.07042253521126761   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 21    AVG SCORE: 0.2409090909090909    	AVG RATIO: 0.023994810954536847  	BEST SCORE: 13   	BEST RATIO: 0.07142857142857142   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 22    AVG SCORE: 0.3427272727272727    	AVG RATIO: 0.02498328287500168   	BEST SCORE: 8    	BEST RATIO: 0.07766990291262135   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 23    AVG SCORE: 0.4863636363636364    	AVG RATIO: 0.026636865576713468  	BEST SCORE: 13   	BEST RATIO: 0.07975460122699386   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 24    AVG SCORE: 0.5318181818181819    	AVG RATIO: 0.027602120038906185  	BEST SCORE: 10   	BEST RATIO: 0.062111801242236024  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 25    AVG SCORE: 0.5945454545454546    	AVG RATIO: 0.03051980572701806   	BEST SCORE: 16   	BEST RATIO: 0.05970149253731343   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 26    AVG SCORE: 0.6672727272727272    	AVG RATIO: 0.03491365248038228   	BEST SCORE: 16   	BEST RATIO: 0.054982817869415807  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 27    AVG SCORE: 0.6690909090909091    	AVG RATIO: 0.02903045480755863   	BEST SCORE: 22   	BEST RATIO: 0.07213114754098361   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 28    AVG SCORE: 0.9854545454545455    	AVG RATIO: 0.03242430714807246   	BEST SCORE: 18   	BEST RATIO: 0.08071748878923767   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 29    AVG SCORE: 0.9781818181818182    	AVG RATIO: 0.03782654037356335   	BEST SCORE: 18   	BEST RATIO: 0.05084745762711865   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 30    AVG SCORE: 1.0272727272727273    	AVG RATIO: 0.03416848312795246   	BEST SCORE: 24   	BEST RATIO: 0.0507399577167019    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 31    AVG SCORE: 1.5745454545454545    	AVG RATIO: 0.03408911192846077   	BEST SCORE: 23   	BEST RATIO: 0.06497175141242938   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 32    AVG SCORE: 1.680909090909091     	AVG RATIO: 0.031223187170570644  	BEST SCORE: 26   	BEST RATIO: 0.05241935483870968   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
