GEN: 0     AVG FITNESS: 27.481265801929236    	AVG SCORE: 0.042727272727272725  	AVG RATIO: 0.007444409126227307  	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 1     AVG FITNESS: 10.64469702004154     	AVG SCORE: 0.013636363636363636  	AVG RATIO: 0.00218001443001443   	BEST FITNESS: 504.3120139340182     	BEST SCORE: 1    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	
GEN: 2     AVG FITNESS: 19.158558859428474    	AVG SCORE: 0.03                  	AVG RATIO: 0.006280663780663781  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 3     AVG FITNESS: 19.548069095949117    	AVG SCORE: 0.03090909090909091   	AVG RATIO: 0.006648065318519864  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 4     AVG FITNESS: 37.76818067223439     	AVG SCORE: 0.05909090909090909   	AVG RATIO: 0.010662810674174305  	BEST FITNESS: 2149.9540739565236    	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 5     AVG FITNESS: 50.51279336098067     	AVG SCORE: 0.07090909090909091   	AVG RATIO: 0.01023505230657637   	BEST FITNESS: 2149.249528362592     	BEST SCORE: 2    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 6     AVG FITNESS: 72.46932787595419     	AVG SCORE: 0.11818181818181818   	AVG RATIO: 0.01848434379049352   	BEST FITNESS: 2149.9540739565236    	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 7     AVG FITNESS: 94.12642542795484     	AVG SCORE: 0.13363636363636364   	AVG RATIO: 0.01947427718208686   	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 8     AVG FITNESS: 107.07775953839143    	AVG SCORE: 0.1572727272727273    	AVG RATIO: 0.021073276630334037  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 9     AVG FITNESS: 110.75080759882538    	AVG SCORE: 0.1709090909090909    	AVG RATIO: 0.021047750880382594  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 10    AVG FITNESS: 140.27532095083063    	AVG SCORE: 0.2018181818181818    	AVG RATIO: 0.025331853560955717  	BEST FITNESS: 9198.217072654083     	BEST SCORE: 4    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 11    AVG FITNESS: 148.17783709995408    	AVG SCORE: 0.21363636363636362   	AVG RATIO: 0.028573221124811313  	BEST FITNESS: 9182.817455976632     	BEST SCORE: 4    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 12    AVG FITNESS: 137.5026417714201     	AVG SCORE: 0.2009090909090909    	AVG RATIO: 0.023957741456234763  	BEST FITNESS: 5024.719635813122     	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 13    AVG FITNESS: 134.2582398004301     	AVG SCORE: 0.19                  	AVG RATIO: 0.02186053154227843   	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 14    AVG FITNESS: 183.5737159660494     	AVG SCORE: 0.25272727272727274   	AVG RATIO: 0.027967967561711354  	BEST FITNESS: 9173.423708485365     	BEST SCORE: 4    	BEST RATIO: 0.16                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 15    AVG FITNESS: 184.00277409479372    	AVG SCORE: 0.24909090909090909   	AVG RATIO: 0.027825067441678314  	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 16    AVG FITNESS: 188.7145931646961     	AVG SCORE: 0.24636363636363637   	AVG RATIO: 0.02966071723775673   	BEST FITNESS: 14676.174537982479    	BEST SCORE: 5    	BEST RATIO: 0.23809523809523808   WON: 0    	WON AVG RATIO: 0                     	
GEN: 17    AVG FITNESS: 176.7912913972021     	AVG SCORE: 0.24272727272727274   	AVG RATIO: 0.028365122656467387  	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 18    AVG FITNESS: 197.97732437024624    	AVG SCORE: 0.2581818181818182    	AVG RATIO: 0.03151371859181429   	BEST FITNESS: 9173.423708485365     	BEST SCORE: 4    	BEST RATIO: 0.16                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 19    AVG FITNESS: 203.39457370668953    	AVG SCORE: 0.23727272727272727   	AVG RATIO: 0.026224159114761912  	BEST FITNESS: 9186.292042124109     	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 20    AVG FITNESS: 208.73993588093197    	AVG SCORE: 0.2727272727272727    	AVG RATIO: 0.03240055295261278   	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 21    AVG FITNESS: 220.82081950283782    	AVG SCORE: 0.26545454545454544   	AVG RATIO: 0.028705213961132098  	BEST FITNESS: 9187.962811309775     	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882   WON: 0    	WON AVG RATIO: 0                     	
GEN: 22    AVG FITNESS: 207.4613760564825     	AVG SCORE: 0.2863636363636364    	AVG RATIO: 0.03680136172076317   	BEST FITNESS: 9163.134630849212     	BEST SCORE: 4    	BEST RATIO: 0.13333333333333333   WON: 0    	WON AVG RATIO: 0                     	
GEN: 23    AVG FITNESS: 245.23078114760548    	AVG SCORE: 0.31363636363636366   	AVG RATIO: 0.034410169068828114  	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 24    AVG FITNESS: 191.90426144971437    	AVG SCORE: 0.2581818181818182    	AVG RATIO: 0.03034615558391633   	BEST FITNESS: 9137.840909256109     	BEST SCORE: 4    	BEST RATIO: 0.0975609756097561    WON: 0    	WON AVG RATIO: 0                     	
GEN: 25    AVG FITNESS: 191.47892725609964    	AVG SCORE: 0.25727272727272726   	AVG RATIO: 0.03134737053390536   	BEST FITNESS: 9171.433554439702     	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385   WON: 0    	WON AVG RATIO: 0                     	
GEN: 26    AVG FITNESS: 217.77606533090238    	AVG SCORE: 0.27545454545454545   	AVG RATIO: 0.031436729481813384  	BEST FITNESS: 14643.750125116621    	BEST SCORE: 5    	BEST RATIO: 0.15625               WON: 0    	WON AVG RATIO: 0                     	
GEN: 27    AVG FITNESS: 193.73149390892382    	AVG SCORE: 0.25727272727272726   	AVG RATIO: 0.027719025125116436  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 28    AVG FITNESS: 167.10765849245263    	AVG SCORE: 0.2409090909090909    	AVG RATIO: 0.02901223795027943   	BEST FITNESS: 5023.038198361497     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413   WON: 0    	WON AVG RATIO: 0                     	
GEN: 29    AVG FITNESS: 228.04727807338637    	AVG SCORE: 0.2963636363636364    	AVG RATIO: 0.03397969047500272   	BEST FITNESS: 9177.295955565198     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086   WON: 0    	WON AVG RATIO: 0                     	
GEN: 30    AVG FITNESS: 209.56207702710114    	AVG SCORE: 0.2872727272727273    	AVG RATIO: 0.03044353295161917   	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 31    AVG FITNESS: 202.42314893046714    	AVG SCORE: 0.27                  	AVG RATIO: 0.031279359255047906  	BEST FITNESS: 9186.292042124109     	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 32    AVG FITNESS: 202.14714019364763    	AVG SCORE: 0.2672727272727273    	AVG RATIO: 0.028986238077987888  	BEST FITNESS: 9189.58683997628      	BEST SCORE: 4    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 33    AVG FITNESS: 254.4847962203125     	AVG SCORE: 0.3236363636363636    	AVG RATIO: 0.03594357580283347   	BEST FITNESS: 9177.295955565198     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086   WON: 0    	WON AVG RATIO: 0                     	
GEN: 34    AVG FITNESS: 209.7377587512033     	AVG SCORE: 0.2809090909090909    	AVG RATIO: 0.030843326909757163  	BEST FITNESS: 5030.559363316634     	BEST SCORE: 3    	BEST RATIO: 0.6                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 35    AVG FITNESS: 221.78149655342295    	AVG SCORE: 0.2990909090909091    	AVG RATIO: 0.03171704763727781   	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 36    AVG FITNESS: 254.9036952717453     	AVG SCORE: 0.3181818181818182    	AVG RATIO: 0.03174233260833529   	BEST FITNESS: 9135.380323820564     	BEST SCORE: 4    	BEST RATIO: 0.09523809523809523   WON: 0    	WON AVG RATIO: 0                     	
GEN: 37    AVG FITNESS: 296.8242930504525     	AVG SCORE: 0.33636363636363636   	AVG RATIO: 0.035764133792673784  	BEST FITNESS: 39278.93176693651     	BEST SCORE: 8    	BEST RATIO: 0.12698412698412698   WON: 0    	WON AVG RATIO: 0                     	
GEN: 38    AVG FITNESS: 295.7242310078277     	AVG SCORE: 0.35                  	AVG RATIO: 0.03797636851003916   	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 39    AVG FITNESS: 255.4007115081557     	AVG SCORE: 0.31636363636363635   	AVG RATIO: 0.033603766303704485  	BEST FITNESS: 9179.175903267498     	BEST SCORE: 4    	BEST RATIO: 0.18181818181818182   WON: 0    	WON AVG RATIO: 0                     	
GEN: 40    AVG FITNESS: 523.4107786819128     	AVG SCORE: 0.35545454545454547   	AVG RATIO: 0.03404703486571445   	BEST FITNESS: 229699.94083099786    	BEST SCORE: 16   	BEST RATIO: 0.07441860465116279   WON: 0    	WON AVG RATIO: 0                     	
GEN: 41    AVG FITNESS: 549.4438184899063     	AVG SCORE: 0.4954545454545455    	AVG RATIO: 0.041720036018356596  	BEST FITNESS: 50378.152089968855    	BEST SCORE: 9    	BEST RATIO: 0.11538461538461539   WON: 0    	WON AVG RATIO: 0                     	
GEN: 42    AVG FITNESS: 978.2328288943088     	AVG SCORE: 0.6327272727272727    	AVG RATIO: 0.04575871935199374   	BEST FITNESS: 115093.88499143357    	BEST SCORE: 13   	BEST RATIO: 0.08552631578947369   WON: 0    	WON AVG RATIO: 0                     	
GEN: 43    AVG FITNESS: 1585.364264310133     	AVG SCORE: 0.8454545454545455    	AVG RATIO: 0.04654288155685758   	BEST FITNESS: 114240.33926689465    	BEST SCORE: 13   	BEST RATIO: 0.06735751295336788   WON: 0    	WON AVG RATIO: 0                     	
GEN: 44    AVG FITNESS: 2155.813386054819     	AVG SCORE: 1.0618181818181818    	AVG RATIO: 0.05344538979281423   	BEST FITNESS: 141224.8040381488     	BEST SCORE: 14   	BEST RATIO: 0.08641975308641975   WON: 0    	WON AVG RATIO: 0                     	
GEN: 45    AVG FITNESS: 5863.854140899279     	AVG SCORE: 1.2163636363636363    	AVG RATIO: 0.051725837872086004  	BEST FITNESS: 2383881.5901006754    	BEST SCORE: 21   	BEST RATIO: 0.061224489795918366  WON: 0    	WON AVG RATIO: 0                     	
