GEN: 0     AVG FITNESS: 24.34587197314553     	AVG SCORE: 0.038181818181818185  	AVG RATIO: 0.007797875104693285  	BEST FITNESS: 2149.988999664993     	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 1     AVG FITNESS: 23.523824628257188    	AVG SCORE: 0.035454545454545454  	AVG RATIO: 0.006709235209235211  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 2     AVG FITNESS: 26.06832206962795     	AVG SCORE: 0.042727272727272725  	AVG RATIO: 0.009636363636363632  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 3     AVG FITNESS: 19.073431083508797    	AVG SCORE: 0.02909090909090909   	AVG RATIO: 0.005151063144146148  	BEST FITNESS: 503.59387380182187    	BEST SCORE: 1    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 4     AVG FITNESS: 22.475154266655757    	AVG SCORE: 0.03363636363636364   	AVG RATIO: 0.005536085126994219  	BEST FITNESS: 2149.964098556101     	BEST SCORE: 2    	BEST RATIO: 0.16666666666666666   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 5     AVG FITNESS: 44.57431645468918     	AVG SCORE: 0.06727272727272728   	AVG RATIO: 0.012044053911032516  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 6     AVG FITNESS: 47.97784276560442     	AVG SCORE: 0.07                  	AVG RATIO: 0.011614124882841456  	BEST FITNESS: 5020.270752177687     	BEST SCORE: 3    	BEST RATIO: 0.15                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 7     AVG FITNESS: 47.20637223982108     	AVG SCORE: 0.07636363636363637   	AVG RATIO: 0.015566184558163162  	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 8     AVG FITNESS: 57.9354981741823      	AVG SCORE: 0.08818181818181818   	AVG RATIO: 0.016992198458107538  	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 9     AVG FITNESS: 66.23212304424598     	AVG SCORE: 0.10545454545454545   	AVG RATIO: 0.015676371885455752  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 10    AVG FITNESS: 60.56870493688659     	AVG SCORE: 0.09636363636363636   	AVG RATIO: 0.013722570913465924  	BEST FITNESS: 2149.986294709256     	BEST SCORE: 2    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 11    AVG FITNESS: 70.56112229227223     	AVG SCORE: 0.11                  	AVG RATIO: 0.018723866522663307  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 12    AVG FITNESS: 83.08480904171901     	AVG SCORE: 0.12                  	AVG RATIO: 0.02004521306111511   	BEST FITNESS: 9182.817455976632     	BEST SCORE: 4    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 13    AVG FITNESS: 93.7971816972622      	AVG SCORE: 0.14                  	AVG RATIO: 0.019709526216083746  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
