GEN: 0     AVG FITNESS: 22.49685253848889     	AVG SCORE: 0.03636363636363636   	AVG RATIO: 0.007487012987012987  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 1     AVG FITNESS: 10.649136215340805    	AVG SCORE: 0.014545454545454545  	AVG RATIO: 0.005534576534576534  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 2     AVG FITNESS: 27.96134076528236     	AVG SCORE: 0.04181818181818182   	AVG RATIO: 0.010987554112554108  	BEST FITNESS: 2148.966348148078     	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666    WON: 0    	WON AVG RATIO: 0                     	
GEN: 3     AVG FITNESS: 21.267012915974416    	AVG SCORE: 0.031818181818181815  	AVG RATIO: 0.005127804014167651  	BEST FITNESS: 2149.739062976162     	BEST SCORE: 2    	BEST RATIO: 0.13333333333333333   WON: 0    	WON AVG RATIO: 0                     	
GEN: 4     AVG FITNESS: 34.806451337479714    	AVG SCORE: 0.05                  	AVG RATIO: 0.008933962037430937  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 5     AVG FITNESS: 33.62154779355882     	AVG SCORE: 0.05181818181818182   	AVG RATIO: 0.010667916679280316  	BEST FITNESS: 2149.249528362592     	BEST SCORE: 2    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 6     AVG FITNESS: 33.13064248403281     	AVG SCORE: 0.05181818181818182   	AVG RATIO: 0.01007634537179991   	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 7     AVG FITNESS: 35.82660907949398     	AVG SCORE: 0.05272727272727273   	AVG RATIO: 0.010757930201112013  	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 8     AVG FITNESS: 32.22605931451728     	AVG SCORE: 0.053636363636363635  	AVG RATIO: 0.013511232825403945  	BEST FITNESS: 502.8350615111534     	BEST SCORE: 1    	BEST RATIO: 1.0                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 9     AVG FITNESS: 35.35306834871865     	AVG SCORE: 0.05272727272727273   	AVG RATIO: 0.009704312473029048  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 10    AVG FITNESS: 39.057540248834464    	AVG SCORE: 0.057272727272727274  	AVG RATIO: 0.008353373898828441  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 11    AVG FITNESS: 47.97693689465562     	AVG SCORE: 0.06727272727272728   	AVG RATIO: 0.010198827351620763  	BEST FITNESS: 5023.038198361497     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413   WON: 0    	WON AVG RATIO: 0                     	
GEN: 12    AVG FITNESS: 55.53279919797137     	AVG SCORE: 0.07545454545454545   	AVG RATIO: 0.012530504666782048  	BEST FITNESS: 5028.82964176195      	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	
GEN: 13    AVG FITNESS: 47.87229713605032     	AVG SCORE: 0.07090909090909091   	AVG RATIO: 0.012219193907696579  	BEST FITNESS: 2149.890070823094     	BEST SCORE: 2    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 14    AVG FITNESS: 57.036873432656755    	AVG SCORE: 0.08454545454545455   	AVG RATIO: 0.014313704143964368  	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 15    AVG FITNESS: 55.401788378416164    	AVG SCORE: 0.08272727272727273   	AVG RATIO: 0.01079344201628186   	BEST FITNESS: 2149.6550881716457    	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	
GEN: 16    AVG FITNESS: 65.2157160402574      	AVG SCORE: 0.09272727272727273   	AVG RATIO: 0.014991718748930958  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 17    AVG FITNESS: 64.33635942681734     	AVG SCORE: 0.09818181818181818   	AVG RATIO: 0.014473672327141217  	BEST FITNESS: 5030.223402266806     	BEST SCORE: 3    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 18    AVG FITNESS: 70.01952340441284     	AVG SCORE: 0.10454545454545454   	AVG RATIO: 0.015118484862855814  	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 19    AVG FITNESS: 77.46547716488486     	AVG SCORE: 0.11363636363636363   	AVG RATIO: 0.017798574389895683  	BEST FITNESS: 5021.224242470099     	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525   WON: 0    	WON AVG RATIO: 0                     	
GEN: 20    AVG FITNESS: 73.32309740481405     	AVG SCORE: 0.11090909090909092   	AVG RATIO: 0.01506277888584328   	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 21    AVG FITNESS: 77.5104819201211      	AVG SCORE: 0.11636363636363636   	AVG RATIO: 0.014284597087404568  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 22    AVG FITNESS: 92.70705665774388     	AVG SCORE: 0.1390909090909091    	AVG RATIO: 0.022490368727630376  	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
